"SAMPLE_ID","PAR_NAME","PAR_INDEX","PAR_VALUE"
0,"vac_dist",0,0.283902
0,"vac_dist",1,0.513837
0,"vac_dist",2,0.0863621
0,"vac_dist",3,0.115899
0,"vac_identifiable",0,0
0,"vac_protect_duration",0,96
0,"vac_rate",0,92473.2
1,"vac_dist",0,0.141749
1,"vac_dist",1,0.530439
1,"vac_dist",2,0.0514117
1,"vac_dist",3,0.2764
1,"vac_identifiable",0,0
1,"vac_protect_duration",0,96
1,"vac_rate",0,92473.2
2,"vac_dist",0,0.136301
2,"vac_dist",1,0.678679
2,"vac_dist",2,0.072212
2,"vac_dist",3,0.112808
2,"vac_identifiable",0,0
2,"vac_protect_duration",0,96
2,"vac_rate",0,92473.2
3,"vac_dist",0,0.21398
3,"vac_dist",1,0.572166
3,"vac_dist",2,0.00265117
3,"vac_dist",3,0.211203
3,"vac_identifiable",0,0
3,"vac_protect_duration",0,96
3,"vac_rate",0,92473.2
4,"vac_dist",0,0.125607
4,"vac_dist",1,0.786165
4,"vac_dist",2,0.0184038
4,"vac_dist",3,0.069824
4,"vac_identifiable",0,0
4,"vac_protect_duration",0,96
4,"vac_rate",0,92473.2
5,"vac_dist",0,0.148715
5,"vac_dist",1,0.666606
5,"vac_dist",2,0.0537439
5,"vac_dist",3,0.130935
5,"vac_identifiable",0,0
5,"vac_protect_duration",0,96
5,"vac_rate",0,92473.2
6,"vac_dist",0,0.195019
6,"vac_dist",1,0.644561
6,"vac_dist",2,0.00393266
6,"vac_dist",3,0.156487
6,"vac_identifiable",0,0
6,"vac_protect_duration",0,96
6,"vac_rate",0,92473.2
7,"vac_dist",0,0.238483
7,"vac_dist",1,0.673774
7,"vac_dist",2,0.0256602
7,"vac_dist",3,0.0620818
7,"vac_identifiable",0,0
7,"vac_protect_duration",0,96
7,"vac_rate",0,92473.2
8,"vac_dist",0,0.152013
8,"vac_dist",1,0.751669
8,"vac_dist",2,0.00165105
8,"vac_dist",3,0.0946667
8,"vac_identifiable",0,0
8,"vac_protect_duration",0,96
8,"vac_rate",0,92473.2
9,"vac_dist",0,0.151062
9,"vac_dist",1,0.736178
9,"vac_dist",2,0.00019126
9,"vac_dist",3,0.112569
9,"vac_identifiable",0,0
9,"vac_protect_duration",0,96
9,"vac_rate",0,92473.2
10,"vac_dist",0,0.0666779
10,"vac_dist",1,0.691356
10,"vac_dist",2,0.00963846
10,"vac_dist",3,0.232327
10,"vac_identifiable",0,0
10,"vac_protect_duration",0,96
10,"vac_rate",0,92473.2
11,"vac_dist",0,0.128094
11,"vac_dist",1,0.668874
11,"vac_dist",2,0.0250386
11,"vac_dist",3,0.177993
11,"vac_identifiable",0,0
11,"vac_protect_duration",0,96
11,"vac_rate",0,92473.2
12,"vac_dist",0,0.0929335
12,"vac_dist",1,0.741849
12,"vac_dist",2,0.0283562
12,"vac_dist",3,0.136862
12,"vac_identifiable",0,0
12,"vac_protect_duration",0,96
12,"vac_rate",0,92473.2
13,"vac_dist",0,0.206135
13,"vac_dist",1,0.697504
13,"vac_dist",2,0.0356534
13,"vac_dist",3,0.0607079
13,"vac_identifiable",0,0
13,"vac_protect_duration",0,96
13,"vac_rate",0,92473.2
14,"vac_dist",0,0.153694
14,"vac_dist",1,0.586508
14,"vac_dist",2,0.0807339
14,"vac_dist",3,0.179064
14,"vac_identifiable",0,0
14,"vac_protect_duration",0,96
14,"vac_rate",0,92473.2
15,"vac_dist",0,0.202883
15,"vac_dist",1,0.663715
