SAMPLE_ID,REP_ID,PAR_NAME,PAR_VALUE,POST_ID
0,0,p_immune_start_anj,0.045,6205
0,0,p_immune_start_gra,0.367,6205
0,0,p_immune_start_may,0.125,6205
0,0,p_immune_start_moh,0.412,6205
0,0,move_anj_gra,12.518,6205
0,0,move_anj_may,36.643,6205
0,0,move_anj_moh,7.324,6205
0,0,move_gra_anj,1.138,6205
0,0,move_gra_moh,6.106,6205
0,0,move_moh_anj,2.216,6205
0,0,move_moh_gra,7.248,6205
0,0,import_size,0.476,6205
0,0,import_start,142.522,6205
0,0,import_duration,46.868,6205
0,0,ndvi_rate,7.624,6205
0,0,trans_scale_anj,-1.028,6205
0,0,trans_scale_gra,-0.777,6205
0,0,trans_scale_may,-1.022,6205
0,0,trans_scale_moh,-0.759,6205
0,1,p_immune_start_anj,0.026,52
0,1,p_immune_start_gra,0.378,52
0,1,p_immune_start_may,0.163,52
0,1,p_immune_start_moh,0.385,52
0,1,move_anj_gra,12.574,52
0,1,move_anj_may,40.105,52
0,1,move_anj_moh,7.997,52
0,1,move_gra_anj,2.775,52
0,1,move_gra_moh,6.761,52
0,1,move_moh_anj,1.592,52
0,1,move_moh_gra,8.263,52
0,1,import_size,0.963,52
0,1,import_start,152.304,52
0,1,import_duration,20.351,52
0,1,ndvi_rate,8.131,52
0,1,trans_scale_anj,-1.14,52
0,1,trans_scale_gra,-0.848,52
0,1,trans_scale_may,-1.072,52
0,1,trans_scale_moh,-0.859,52
0,2,p_immune_start_anj,0.035,6161
0,2,p_immune_start_gra,0.405,6161
0,2,p_immune_start_may,0.154,6161
0,2,p_immune_start_moh,0.374,6161
0,2,move_anj_gra,12.003,6161
0,2,move_anj_may,44.633,6161
0,2,move_anj_moh,8.974,6161
0,2,move_gra_anj,3.135,6161
0,2,move_gra_moh,6.829,6161
0,2,move_moh_anj,1.636,6161
0,2,move_moh_gra,6.656,6161
0,2,import_size,0.784,6161
0,2,import_start,125.098,6161
0,2,import_duration,35.823,6161
0,2,ndvi_rate,8.392,6161
0,2,trans_scale_anj,-1.18,6161
0,2,trans_scale_gra,-0.867,6161
0,2,trans_scale_may,-1.129,6161
0,2,trans_scale_moh,-0.907,6161
0,3,p_immune_start_anj,0.038,7842
0,3,p_immune_start_gra,0.406,7842
0,3,p_immune_start_may,0.139,7842
0,3,p_immune_start_moh,0.362,7842
0,3,move_anj_gra,13.081,7842
0,3,move_anj_may,42.116,7842
0,3,move_anj_moh,8.808,7842
0,3,move_gra_anj,0.429,7842
0,3,move_gra_moh,6.975,7842
0,3,move_moh_anj,2.092,7842
0,3,move_moh_gra,8.945,7842
0,3,import_size,1.018,7842
0,3,import_start,135.83,7842
0,3,import_duration,21.913,7842
0,3,ndvi_rate,8.164,7842
0,3,trans_scale_anj,-1.134,7842
0,3,trans_scale_gra,-0.844,7842
0,3,trans_scale_may,-1.093,7842
0,3,trans_scale_moh,-0.865,7842
0,4,p_immune_start_anj,0.031,2296
0,4,p_immune_start_gra,0.392,2296
0,4,p_immune_start_may,0.157,2296
0,4,p_immune_start_moh,0.382,2296
0,4,move_anj_gra,13.509,2296
0,4,move_anj_may,37.409,2296
0,4,move_anj_moh,8.962,2296
0,4,move_gra_anj,0.645,2296
0,4,move_gra_moh,6.16,2296
0,4,move_moh_anj,2.039,2296
0,4,move_moh_gra,6.613,2296
0,4,import_size,2.595,2296
0,4,import_start,135.65,2296
0,4,import_duration,9.611,2296
0,4,ndvi_rate,8.639,2296
0,4,trans_scale_anj,-1.198,2296
0,4,trans_scale_gra,-0.914,2296
0,4,trans_scale_may,-1.193,2296
