SAMPLE_ID,REP_ID,PAR_NAME,PAR_VALUE,POST_ID
0,0,p_immune_start_anj,0.049,4980
0,0,p_immune_start_gra,0.405,4980
0,0,p_immune_start_may,0.123,4980
0,0,p_immune_start_moh,0.401,4980
0,0,move_anj_gra,13.987,4980
0,0,move_anj_may,37.275,4980
0,0,move_anj_moh,7.533,4980
0,0,move_gra_anj,1.285,4980
0,0,move_gra_moh,7.024,4980
0,0,move_moh_anj,0.543,4980
0,0,move_moh_gra,9.004,4980
0,0,import_size,6.664,4980
0,0,import_start,154.727,4980
0,0,import_duration,18.764,4980
0,0,ndvi_rate,8.008,4980
0,0,trans_scale_anj,-1.093,4980
0,0,trans_scale_gra,-0.82,4980
0,0,trans_scale_may,-1.062,4980
0,0,trans_scale_moh,-0.824,4980
0,1,p_immune_start_anj,0.046,6547
0,1,p_immune_start_gra,0.406,6547
0,1,p_immune_start_may,0.15,6547
0,1,p_immune_start_moh,0.376,6547
0,1,move_anj_gra,12.041,6547
0,1,move_anj_may,34.286,6547
0,1,move_anj_moh,8.351,6547
0,1,move_gra_anj,0.256,6547
0,1,move_gra_moh,6.98,6547
0,1,move_moh_anj,1.859,6547
0,1,move_moh_gra,9.031,6547
0,1,import_size,0.987,6547
0,1,import_start,120.418,6547
0,1,import_duration,8.598,6547
0,1,ndvi_rate,7.699,6547
0,1,trans_scale_anj,-1.044,6547
0,1,trans_scale_gra,-0.769,6547
0,1,trans_scale_may,-1.034,6547
0,1,trans_scale_moh,-0.797,6547
0,2,p_immune_start_anj,0.026,3320
0,2,p_immune_start_gra,0.393,3320
0,2,p_immune_start_may,0.15,3320
0,2,p_immune_start_moh,0.37,3320
0,2,move_anj_gra,10.428,3320
0,2,move_anj_may,44.385,3320
0,2,move_anj_moh,8.947,3320
0,2,move_gra_anj,1.382,3320
0,2,move_gra_moh,6.926,3320
0,2,move_moh_anj,1.304,3320
0,2,move_moh_gra,9.432,3320
0,2,import_size,1.028,3320
0,2,import_start,151.507,3320
0,2,import_duration,16.201,3320
0,2,ndvi_rate,7.333,3320
0,2,trans_scale_anj,-1.004,3320
0,2,trans_scale_gra,-0.715,3320
0,2,trans_scale_may,-0.95,3320
0,2,trans_scale_moh,-0.747,3320
0,3,p_immune_start_anj,0.038,7935
0,3,p_immune_start_gra,0.386,7935
0,3,p_immune_start_may,0.175,7935
0,3,p_immune_start_moh,0.415,7935
0,3,move_anj_gra,13.963,7935
0,3,move_anj_may,42.728,7935
0,3,move_anj_moh,7.102,7935
0,3,move_gra_anj,2.565,7935
0,3,move_gra_moh,5.298,7935
0,3,move_moh_anj,1.199,7935
0,3,move_moh_gra,8.719,7935
0,3,import_size,2.262,7935
0,3,import_start,130.002,7935
0,3,import_duration,24.45,7935
0,3,ndvi_rate,7.764,7935
0,3,trans_scale_anj,-1.082,7935
0,3,trans_scale_gra,-0.795,7935
0,3,trans_scale_may,-1.003,7935
0,3,trans_scale_moh,-0.774,7935
0,4,p_immune_start_anj,0.033,3516
0,4,p_immune_start_gra,0.375,3516
0,4,p_immune_start_may,0.143,3516
0,4,p_immune_start_moh,0.4,3516
0,4,move_anj_gra,13.51,3516
0,4,move_anj_may,37.423,3516
0,4,move_anj_moh,9.568,3516
0,4,move_gra_anj,1.265,3516
0,4,move_gra_moh,6.398,3516
0,4,move_moh_anj,1.106,3516
0,4,move_moh_gra,10.148,3516
0,4,import_size,1.929,3516
0,4,import_start,123.321,3516
0,4,import_duration,34.302,3516
0,4,ndvi_rate,7.193,3516
0,4,trans_scale_anj,-0.981,3516
0,4,trans_scale_gra,-0.706,3516
0,4,trans_scale_may,-0.927,3516
0,4,trans_scale_moh,-0.701,3516
0,5,p_immune_start_anj,0.014,6768
0,5,p_immune_start_gra,0.368,6768
0,5,p_immune_start_may,0.156,6768
0,5,p_immune_start_moh,0.401,6768
0,5,move_anj_gra,11.347,6768
0,5,move_anj_may,37.892,6768
0,5,move_anj_moh,8.333,6768
0,5,move_gra_anj,2.657,6768
0,5,move_gra_moh,6.789,6768
0,5,move_moh_anj,1.949,6768
0,5,move_moh_gra,8.7,6768
0,5,import_size,0.908,6768
