SAMPLE_ID,REP_ID,PAR_NAME,PAR_VALUE,POST_ID
0,0,p_immune_start_anj,0.046,8429
0,0,p_immune_start_gra,0.371,8429
0,0,p_immune_start_may,0.165,8429
0,0,p_immune_start_moh,0.366,8429
0,0,move_anj_gra,14.313,8429
0,0,move_anj_may,38.439,8429
0,0,move_anj_moh,7.509,8429
0,0,move_gra_anj,1.531,8429
0,0,move_gra_moh,7.398,8429
0,0,move_moh_anj,1.533,8429
0,0,move_moh_gra,8.524,8429
0,0,import_size,2.925,8429
0,0,import_start,144.354,8429
0,0,import_duration,24.846,8429
0,0,ndvi_rate,7.66,8429
0,0,trans_scale_anj,-1.026,8429
0,0,trans_scale_gra,-0.779,8429
0,0,trans_scale_may,-1.033,8429
0,0,trans_scale_moh,-0.802,8429
0,1,p_immune_start_anj,0.059,2235
0,1,p_immune_start_gra,0.398,2235
0,1,p_immune_start_may,0.122,2235
0,1,p_immune_start_moh,0.388,2235
0,1,move_anj_gra,13.66,2235
0,1,move_anj_may,41.723,2235
0,1,move_anj_moh,8.948,2235
0,1,move_gra_anj,0.672,2235
0,1,move_gra_moh,6.981,2235
0,1,move_moh_anj,0.826,2235
0,1,move_moh_gra,9.303,2235
0,1,import_size,3.15,2235
0,1,import_start,127.381,2235
0,1,import_duration,7.652,2235
0,1,ndvi_rate,7.85,2235
0,1,trans_scale_anj,-1.077,2235
0,1,trans_scale_gra,-0.802,2235
0,1,trans_scale_may,-1.043,2235
0,1,trans_scale_moh,-0.81,2235
0,2,p_immune_start_anj,0.059,6934
0,2,p_immune_start_gra,0.291,6934
0,2,p_immune_start_may,0.127,6934
0,2,p_immune_start_moh,0.445,6934
0,2,move_anj_gra,10.537,6934
0,2,move_anj_may,41.045,6934
0,2,move_anj_moh,8.747,6934
0,2,move_gra_anj,0.507,6934
0,2,move_gra_moh,6.951,6934
0,2,move_moh_anj,0.961,6934
0,2,move_moh_gra,8.397,6934
0,2,import_size,3.921,6934
0,2,import_start,126.773,6934
0,2,import_duration,19.804,6934
0,2,ndvi_rate,7.581,6934
0,2,trans_scale_anj,-1.018,6934
0,2,trans_scale_gra,-0.778,6934
0,2,trans_scale_may,-1.017,6934
0,2,trans_scale_moh,-0.747,6934
0,3,p_immune_start_anj,0.029,9620
0,3,p_immune_start_gra,0.293,9620
0,3,p_immune_start_may,0.168,9620
0,3,p_immune_start_moh,0.429,9620
0,3,move_anj_gra,11.917,9620
0,3,move_anj_may,36.306,9620
