SAMPLE_ID,REP_ID,PAR_NAME,PAR_VALUE,POST_ID
0,0,p_immune_start_anj,0.036,6322
0,0,p_immune_start_gra,0.398,6322
0,0,p_immune_start_may,0.123,6322
0,0,p_immune_start_moh,0.39,6322
0,0,move_anj_gra,11.935,6322
0,0,move_anj_may,40.434,6322
0,0,move_anj_moh,8.395,6322
0,0,move_gra_anj,1.208,6322
0,0,move_gra_moh,7.98,6322
0,0,move_moh_anj,1.328,6322
0,0,move_moh_gra,8.985,6322
0,0,import_size,4.664,6322
0,0,import_start,134.041,6322
0,0,import_duration,18.522,6322
0,0,ndvi_rate,7.801,6322
0,0,trans_scale_anj,-1.08,6322
0,0,trans_scale_gra,-0.791,6322
0,0,trans_scale_may,-1.016,6322
0,0,trans_scale_moh,-0.801,6322
0,1,p_immune_start_anj,0.039,2294
0,1,p_immune_start_gra,0.402,2294
0,1,p_immune_start_may,0.131,2294
0,1,p_immune_start_moh,0.415,2294
0,1,move_anj_gra,13.744,2294
0,1,move_anj_may,44.915,2294
0,1,move_anj_moh,8.107,2294
0,1,move_gra_anj,3.345,2294
0,1,move_gra_moh,6.016,2294
0,1,move_moh_anj,1.835,2294
0,1,move_moh_gra,9.089,2294
0,1,import_size,0.788,2294
0,1,import_start,149.07,2294
0,1,import_duration,12.485,2294
0,1,ndvi_rate,7.688,2294
0,1,trans_scale_anj,-1.06,2294
0,1,trans_scale_gra,-0.769,2294
0,1,trans_scale_may,-1.022,2294
0,1,trans_scale_moh,-0.763,2294
0,2,p_immune_start_anj,0.03,8038
0,2,p_immune_start_gra,0.37,8038
0,2,p_immune_start_may,0.164,8038
0,2,p_immune_start_moh,0.433,8038
0,2,move_anj_gra,13.557,8038
0,2,move_anj_may,40.599,8038
0,2,move_anj_moh,8.744,8038
0,2,move_gra_anj,1.019,8038
0,2,move_gra_moh,5.851,8038
0,2,move_moh_anj,1.617,8038
0,2,move_moh_gra,8.66,8038
0,2,import_size,4.538,8038
0,2,import_start,145.967,8038
0,2,import_duration,29.333,8038
0,2,ndvi_rate,7.992,8038
0,2,trans_scale_anj,-1.108,8038
0,2,trans_scale_gra,-0.832,8038
0,2,trans_scale_may,-1.066,8038
0,2,trans_scale_moh,-0.799,8038
0,3,p_immune_start_anj,0.017,6051
0,3,p_immune_start_gra,0.37,6051
0,3,p_immune_start_may,0.173,6051
0,3,p_immune_start_moh,0.403,6051
0,3,move_anj_gra,14.581,6051
0,3,move_anj_may,41.959,6051
0,3,move_anj_moh,8.258,6051
0,3,move_gra_anj,2.289,6051
0,3,move_gra_moh,7.068,6051
0,3,move_moh_anj,0.536,6051
0,3,move_moh_gra,8.367,6051
0,3,import_size,1.645,6051
0,3,import_start,122.845,6051
0,3,import_duration,41.817,6051
0,3,ndvi_rate,7.427,6051
0,3,trans_scale_anj,-1.029,6051
0,3,trans_scale_gra,-0.739,6051
0,3,trans_scale_may,-0.963,6051
0,3,trans_scale_moh,-0.735,6051
0,4,p_immune_start_anj,0.027,9878
0,4,p_immune_start_gra,0.384,9878
0,4,p_immune_start_may,0.111,9878
0,4,p_immune_start_moh,0.355,9878
0,4,move_anj_gra,13.862,9878
0,4,move_anj_may,40.304,9878
0,4,move_anj_moh,8.113,9878
0,4,move_gra_anj,2.138,9878
0,4,move_gra_moh,6.622,9878
0,4,move_moh_anj,0.887,9878
0,4,move_moh_gra,8.924,9878
0,4,import_size,0.113,9878
0,4,import_start,151.699,9878
0,4,import_duration,29.035,9878
0,4,ndvi_rate,7.426,9878
0,4,trans_scale_anj,-1.006,9878
0,4,trans_scale_gra,-0.736,9878
0,4,trans_scale_may,-0.984,9878
0,4,trans_scale_moh,-0.773,9878
0,5,p_immune_start_anj,0.034,8100
0,5,p_immune_start_gra,0.332,8100
0,5,p_immune_start_may,0.153,8100
0,5,p_immune_start_moh,0.371,8100
0,5,move_anj_gra,13.012,8100
0,5,move_anj_may,35.512,8100
0,5,move_anj_moh,8.948,8100
0,5,move_gra_anj,1.818,8100
0,5,move_gra_moh,7.426,8100
0,5,move_moh_anj,1.027,8100
0,5,move_moh_gra,7.037,8100
0,5,import_size,4.115,8100
0,5,import_start,118.409,8100
0,5,import_duration,17.328,8100
0,5,ndvi_rate,8.487,8100
0,5,trans_scale_anj,-1.185,8100
0,5,trans_scale_gra,-0.891,8100
0,5,trans_scale_may,-1.149,8100
0,5,trans_scale_moh,-0.936,8100
0,6,p_immune_start_anj,0.047,197
0,6,p_immune_start_gra,0.374,197
0,6,p_immune_start_may,0.135,197
0,6,p_immune_start_moh,0.372,197
0,6,move_anj_gra,12.138,197
0,6,move_anj_may,41,197
0,6,move_anj_moh,8.457,197
0,6,move_gra_anj,0.884,197
0,6,move_gra_moh,7.161,197
0,6,move_moh_anj,1.549,197
0,6,move_moh_gra,8.975,197
0,6,import_size,4.02,197
0,6,import_start,123.082,197
0,6,import_duration,36.408,197
0,6,ndvi_rate,7.856,197
0,6,trans_scale_anj,-1.086,197
0,6,trans_scale_gra,-0.81,197
0,6,trans_scale_may,-1.034,197
0,6,trans_scale_moh,-0.826,197
0,7,p_immune_start_anj,0.069,2216
0,7,p_immune_start_gra,0.375,2216
0,7,p_immune_start_may,0.131,2216
0,7,p_immune_start_moh,0.422,2216
0,7,move_anj_gra,13.724,2216
0,7,move_anj_may,43.643,2216
0,7,move_anj_moh,8.564,2216
0,7,move_gra_anj,1.812,2216
0,7,move_gra_moh,6.812,2216
0,7,move_moh_anj,0.93,2216
0,7,move_moh_gra,8.146,2216
0,7,import_size,7.121,2216
0,7,import_start,151.086,2216
0,7,import_duration,9.786,2216
0,7,ndvi_rate,7.658,2216
0,7,trans_scale_anj,-1.038,2216
0,7,trans_scale_gra,-0.774,2216
0,7,trans_scale_may,-1.017,2216
0,7,trans_scale_moh,-0.754,2216
0,8,p_immune_start_anj,0.022,9789
0,8,p_immune_start_gra,0.366,9789
0,8,p_immune_start_may,0.142,9789
0,8,p_immune_start_moh,0.372,9789
0,8,move_anj_gra,11.52,9789
0,8,move_anj_may,38.867,9789
0,8,move_anj_moh,9.82,9789
0,8,move_gra_anj,1.152,9789
0,8,move_gra_moh,5.72,9789
0,8,move_moh_anj,1.514,9789
0,8,move_moh_gra,7.693,9789
0,8,import_size,8.283,9789
0,8,import_start,122.336,9789
0,8,import_duration,1.042,9789
0,8,ndvi_rate,7.811,9789
0,8,trans_scale_anj,-1.069,9789
0,8,trans_scale_gra,-0.801,9789
0,8,trans_scale_may,-1.057,9789
0,8,trans_scale_moh,-0.797,9789
0,9,p_immune_start_anj,0.034,8741
0,9,p_immune_start_gra,0.366,8741
0,9,p_immune_start_may,0.125,8741
0,9,p_immune_start_moh,0.403,8741
0,9,move_anj_gra,14.113,8741
0,9,move_anj_may,42.111,8741
0,9,move_anj_moh,7.962,8741
0,9,move_gra_anj,1.246,8741
0,9,move_gra_moh,6.181,8741
0,9,move_moh_anj,1.785,8741
0,9,move_moh_gra,8.683,8741
0,9,import_size,4.502,8741
0,9,import_start,137.37,8741
0,9,import_duration,30.135,8741
0,9,ndvi_rate,7.653,8741
0,9,trans_scale_anj,-1.057,8741
0,9,trans_scale_gra,-0.782,8741
0,9,trans_scale_may,-1.015,8741
