SAMPLE_ID,REP_ID,PAR_NAME,PAR_VALUE,POST_ID
0,0,p_immune_start_anj,0.025,1451
0,0,p_immune_start_gra,0.384,1451
0,0,p_immune_start_may,0.151,1451
0,0,p_immune_start_moh,0.421,1451
0,0,move_anj_gra,14.014,1451
0,0,move_anj_may,42.267,1451
0,0,move_anj_moh,8.959,1451
0,0,move_gra_anj,1.649,1451
0,0,move_gra_moh,7.797,1451
0,0,move_moh_anj,1.077,1451
0,0,move_moh_gra,7.352,1451
0,0,import_size,7.555,1451
0,0,import_start,116.193,1451
0,0,import_duration,26.859,1451
0,0,ndvi_rate,7.515,1451
0,0,trans_scale_anj,-1.043,1451
0,0,trans_scale_gra,-0.742,1451
0,0,trans_scale_may,-0.973,1451
0,0,trans_scale_moh,-0.734,1451
0,1,p_immune_start_anj,0.039,7062
0,1,p_immune_start_gra,0.361,7062
0,1,p_immune_start_may,0.132,7062
0,1,p_immune_start_moh,0.36,7062
0,1,move_anj_gra,14.416,7062
0,1,move_anj_may,37.917,7062
0,1,move_anj_moh,7.019,7062
0,1,move_gra_anj,2.42,7062
0,1,move_gra_moh,7.357,7062
0,1,move_moh_anj,0.788,7062
0,1,move_moh_gra,8.039,7062
0,1,import_size,2.272,7062
0,1,import_start,121.517,7062
0,1,import_duration,14.012,7062
0,1,ndvi_rate,8.172,7062
0,1,trans_scale_anj,-1.133,7062
0,1,trans_scale_gra,-0.858,7062
0,1,trans_scale_may,-1.089,7062
0,1,trans_scale_moh,-0.871,7062
0,2,p_immune_start_anj,0.019,6376
0,2,p_immune_start_gra,0.384,6376
0,2,p_immune_start_may,0.139,6376
0,2,p_immune_start_moh,0.441,6376
0,2,move_anj_gra,12.196,6376
0,2,move_anj_may,40.005,6376
0,2,move_anj_moh,9.544,6376
0,2,move_gra_anj,2.116,6376
0,2,move_gra_moh,7.204,6376
0,2,move_moh_anj,0.855,6376
0,2,move_moh_gra,8.496,6376
0,2,import_size,0.218,6376
0,2,import_start,137.724,6376
0,2,import_duration,26.751,6376
0,2,ndvi_rate,7.114,6376
0,2,trans_scale_anj,-0.968,6376
0,2,trans_scale_gra,-0.687,6376
0,2,trans_scale_may,-0.921,6376
0,2,trans_scale_moh,-0.655,6376
0,3,p_immune_start_anj,0.042,3400
0,3,p_immune_start_gra,0.34,3400
0,3,p_immune_start_may,0.129,3400
0,3,p_immune_start_moh,0.375,3400
0,3,move_anj_gra,15.021,3400
0,3,move_anj_may,40.661,3400
0,3,move_anj_moh,8.095,3400
0,3,move_gra_anj,2.528,3400
0,3,move_gra_moh,8.747,3400
0,3,move_moh_anj,1.805,3400
0,3,move_moh_gra,7.088,3400
0,3,import_size,2.898,3400
0,3,import_start,126.409,3400
0,3,import_duration,42.281,3400
0,3,ndvi_rate,8.407,3400
0,3,trans_scale_anj,-1.17,3400
0,3,trans_scale_gra,-0.903,3400
0,3,trans_scale_may,-1.14,3400
0,3,trans_scale_moh,-0.916,3400
0,4,p_immune_start_anj,0.027,1529
0,4,p_immune_start_gra,0.388,1529
0,4,p_immune_start_may,0.144,1529
0,4,p_immune_start_moh,0.385,1529
0,4,move_anj_gra,13.482,1529
0,4,move_anj_may,38.047,1529
0,4,move_anj_moh,7.153,1529
0,4,move_gra_anj,1.881,1529
0,4,move_gra_moh,6.561,1529
0,4,move_moh_anj,1.416,1529
0,4,move_moh_gra,9.621,1529
0,4,import_size,2,1529
0,4,import_start,141.685,1529
0,4,import_duration,21.513,1529
0,4,ndvi_rate,7.829,1529
0,4,trans_scale_anj,-1.078,1529
0,4,trans_scale_gra,-0.797,1529
0,4,trans_scale_may,-1.042,1529
0,4,trans_scale_moh,-0.812,1529
0,5,p_immune_start_anj,0.028,2477
0,5,p_immune_start_gra,0.355,2477
0,5,p_immune_start_may,0.141,2477
0,5,p_immune_start_moh,0.362,2477
0,5,move_anj_gra,14.21,2477
0,5,move_anj_may,39.522,2477
0,5,move_anj_moh,8.94,2477
0,5,move_gra_anj,1.617,2477
0,5,move_gra_moh,7.301,2477
0,5,move_moh_anj,1.042,2477
0,5,move_moh_gra,9.41,2477
0,5,import_size,5.799,2477
0,5,import_start,119.829,2477
0,5,import_duration,26.505,2477
0,5,ndvi_rate,7.898,2477
0,5,trans_scale_anj,-1.094,2477
0,5,trans_scale_gra,-0.829,2477
0,5,trans_scale_may,-1.034,2477
0,5,trans_scale_moh,-0.823,2477
0,6,p_immune_start_anj,0.032,1611
0,6,p_immune_start_gra,0.366,1611
0,6,p_immune_start_may,0.184,1611
0,6,p_immune_start_moh,0.432,1611
0,6,move_anj_gra,13.948,1611
0,6,move_anj_may,41.084,1611
0,6,move_anj_moh,7.64,1611
0,6,move_gra_anj,0.702,1611
0,6,move_gra_moh,8.254,1611
0,6,move_moh_anj,0.791,1611
0,6,move_moh_gra,9.647,1611
0,6,import_size,4.402,1611
0,6,import_start,137.19,1611
0,6,import_duration,23.772,1611
0,6,ndvi_rate,7.175,1611
0,6,trans_scale_anj,-0.961,1611
0,6,trans_scale_gra,-0.706,1611
0,6,trans_scale_may,-0.95,1611
0,6,trans_scale_moh,-0.674,1611
0,7,p_immune_start_anj,0.044,3763
0,7,p_immune_start_gra,0.423,3763
0,7,p_immune_start_may,0.156,3763
0,7,p_immune_start_moh,0.348,3763
0,7,move_anj_gra,12.887,3763
0,7,move_anj_may,43.697,3763
0,7,move_anj_moh,7.88,3763
0,7,move_gra_anj,0.854,3763
0,7,move_gra_moh,6.449,3763
0,7,move_moh_anj,1.237,3763
0,7,move_moh_gra,9.471,3763
0,7,import_size,1.215,3763
0,7,import_start,127.25,3763
0,7,import_duration,13.995,3763
0,7,ndvi_rate,8.01,3763
0,7,trans_scale_anj,-1.11,3763
0,7,trans_scale_gra,-0.821,3763
0,7,trans_scale_may,-1.06,3763
0,7,trans_scale_moh,-0.863,3763
0,8,p_immune_start_anj,0.045,9382
0,8,p_immune_start_gra,0.378,9382
0,8,p_immune_start_may,0.143,9382
0,8,p_immune_start_moh,0.446,9382
0,8,move_anj_gra,13.374,9382
0,8,move_anj_may,40.88,9382
0,8,move_anj_moh,7.152,9382
0,8,move_gra_anj,1.361,9382
0,8,move_gra_moh,7.845,9382
0,8,move_moh_anj,1.454,9382
0,8,move_moh_gra,9.11,9382
0,8,import_size,6.046,9382
0,8,import_start,124.921,9382
0,8,import_duration,15.693,9382
0,8,ndvi_rate,7.676,9382
0,8,trans_scale_anj,-1.037,9382
0,8,trans_scale_gra,-0.78,9382
0,8,trans_scale_may,-1.05,9382
0,8,trans_scale_moh,-0.738,9382
0,9,p_immune_start_anj,0.031,1941
0,9,p_immune_start_gra,0.324,1941
0,9,p_immune_start_may,0.137,1941
0,9,p_immune_start_moh,0.387,1941
0,9,move_anj_gra,13.177,1941
