SAMPLE_ID,REP_ID,PAR_NAME,PAR_VALUE,POST_ID
0,0,p_immune_start_anj,0.043,8875
0,0,p_immune_start_gra,0.371,8875
0,0,p_immune_start_may,0.141,8875
0,0,p_immune_start_moh,0.44,8875
0,0,move_anj_gra,13.366,8875
0,0,move_anj_may,38.908,8875
0,0,move_anj_moh,7.697,8875
0,0,move_gra_anj,1.368,8875
0,0,move_gra_moh,6.444,8875
0,0,move_moh_anj,1.223,8875
0,0,move_moh_gra,8.778,8875
0,0,import_size,2.339,8875
0,0,import_start,125.056,8875
0,0,import_duration,16.382,8875
0,0,ndvi_rate,7.635,8875
0,0,trans_scale_anj,-1.038,8875
0,0,trans_scale_gra,-0.777,8875
0,0,trans_scale_may,-1.015,8875
0,0,trans_scale_moh,-0.736,8875
0,1,p_immune_start_anj,0.019,9099
0,1,p_immune_start_gra,0.417,9099
0,1,p_immune_start_may,0.13,9099
0,1,p_immune_start_moh,0.432,9099
0,1,move_anj_gra,12.864,9099
0,1,move_anj_may,39.328,9099
0,1,move_anj_moh,8.053,9099
0,1,move_gra_anj,2.716,9099
0,1,move_gra_moh,6.965,9099
0,1,move_moh_anj,2.415,9099
0,1,move_moh_gra,9.43,9099
0,1,import_size,1.537,9099
0,1,import_start,129.417,9099
0,1,import_duration,17.858,9099
0,1,ndvi_rate,7.274,9099
0,1,trans_scale_anj,-0.995,9099
0,1,trans_scale_gra,-0.707,9099
0,1,trans_scale_may,-0.955,9099
0,1,trans_scale_moh,-0.684,9099
0,2,p_immune_start_anj,0.037,9954
0,2,p_immune_start_gra,0.386,9954
0,2,p_immune_start_may,0.14,9954
0,2,p_immune_start_moh,0.415,9954
0,2,move_anj_gra,12.995,9954
0,2,move_anj_may,41.507,9954
0,2,move_anj_moh,9.599,9954
0,2,move_gra_anj,0.56,9954
0,2,move_gra_moh,7.504,9954
0,2,move_moh_anj,1.457,9954
0,2,move_moh_gra,7.71,9954
0,2,import_size,1.426,9954
0,2,import_start,142.559,9954
0,2,import_duration,29.101,9954
0,2,ndvi_rate,7.988,9954
0,2,trans_scale_anj,-1.103,9954
0,2,trans_scale_gra,-0.815,9954
