OPTIM_ID,STEP_ID,PARTICLE_ID,SAMPLE_ID,COST_VALUE
0,0,0,0,0.260686
0,0,0,1,0.251488
0,0,0,2,0.271779
0,0,0,3,0.283448
0,0,0,4,0.242526
0,0,0,5,0.294813
0,0,0,6,0.28563
0,0,0,7,0.240896
0,0,0,8,0.210013
0,0,0,9,0.248969
0,0,1,0,0.302773
0,0,1,1,0.281219
0,0,1,2,0.298078
0,0,1,3,0.19791
0,0,1,4,0.223863
0,0,1,5,0.224021
0,0,1,6,0.271305
0,0,1,7,0.216576
0,0,1,8,0.305692
0,0,1,9,0.235406
0,0,2,0,0.220755
0,0,2,1,0.163508
0,0,2,2,0.133569
0,0,2,3,0.164398
0,0,2,4,0.147197
0,0,2,5,0.233733
0,0,2,6,0.168612
0,0,2,7,0.216306
0,0,2,8,0.165689
0,0,2,9,0.145593
0,0,3,0,0.197293
0,0,3,1,0.231614
0,0,3,2,0.233799
0,0,3,3,0.249374
0,0,3,4,0.263729
0,0,3,5,0.225609
0,0,3,6,0.222329
0,0,3,7,0.251833
0,0,3,8,0.228357
0,0,3,9,0.274988
0,0,4,0,0.278118
0,0,4,1,0.249789
0,0,4,2,0.279722
0,0,4,3,0.246078
0,0,4,4,0.320166
0,0,4,5,0.256111
0,0,4,6,0.34016
0,0,4,7,0.290827
0,0,4,8,0.25488
0,0,4,9,0.267373
0,0,5,0,0.391756
0,0,5,1,0.358405
0,0,5,2,0.346335
0,0,5,3,0.366918
0,0,5,4,0.354863
0,0,5,5,0.348737
0,0,5,6,0.373507
0,0,5,7,0.319385
0,0,5,8,0.370196
0,0,5,9,0.365338
0,0,6,0,0.30732
0,0,6,1,0.328125
0,0,6,2,0.296599
0,0,6,3,0.297221
0,0,6,4,0.277127
0,0,6,5,0.355138
0,0,6,6,0.328811
0,0,6,7,0.259024
0,0,6,8,0.296631
0,0,6,9,0.24001
0,0,7,0,0.185814
0,0,7,1,0.172608
0,0,7,2,0.175749
0,0,7,3,0.190878
0,0,7,4,0.163603
0,0,7,5,0.162905
0,0,7,6,0.193325
0,0,7,7,0.205598
0,0,7,8,0.187419
0,0,7,9,0.186365
0,0,8,0,0.188565
0,0,8,1,0.15234
0,0,8,2,0.15771
0,0,8,3,0.172975
0,0,8,4,0.135651
0,0,8,5,0.200414
0,0,8,6,0.18658
0,0,8,7,0.184746
0,0,8,8,0.172346
0,0,8,9,0.187276
0,0,9,0,0.266623
0,0,9,1,0.344636
0,0,9,2,0.294888
0,0,9,3,0.331995
0,0,9,4,0.316681
0,0,9,5,0.306699
0,0,9,6,0.27692
0,0,9,7,0.296414
0,0,9,8,0.290332
0,0,9,9,0.294667
0,0,10,0,0.26411
0,0,10,1,0.271602
0,0,10,2,0.264604
0,0,10,3,0.257318
0,0,10,4,0.290942
0,0,10,5,0.267557
0,0,10,6,0.273005
0,0,10,7,0.262043
0,0,10,8,0.253128
0,0,10,9,0.310237
0,0,11,0,0.289953
0,0,11,1,0.283487
0,0,11,2,0.330384
0,0,11,3,0.334381
0,0,11,4,0.327956
0,0,11,5,0.369706
0,0,11,6,0.347495
0,0,11,7,0.272346
0,0,11,8,0.335629
0,0,11,9,0.291767
0,0,12,0,0.253984
0,0,12,1,0.253331
0,0,12,2,0.268998
0,0,12,3,0.249685
0,0,12,4,0.31826
0,0,12,5,0.301838
0,0,12,6,0.243165
0,0,12,7,0.275468
0,0,12,8,0.241828
0,0,12,9,0.281539
0,0,13,0,0.219615
0,0,13,1,0.213147
0,0,13,2,0.229134
0,0,13,3,0.250928
0,0,13,4,0.28433
0,0,13,5,0.220653
0,0,13,6,0.232616
0,0,13,7,0.25363
0,0,13,8,0.219244
0,0,13,9,0.214222
0,0,14,0,0.209258
0,0,14,1,0.210734
0,0,14,2,0.210494
0,0,14,3,0.221374
0,0,14,4,0.270656
0,0,14,5,0.204218
0,0,14,6,0.197298
0,0,14,7,0.22926
0,0,14,8,0.195887
0,0,14,9,0.214679
0,0,15,0,0.288828
0,0,15,1,0.300163
0,0,15,2,0.319728
0,0,15,3,0.375375
0,0,15,4,0.343938
0,0,15,5,0.31503
0,0,15,6,0.329444
0,0,15,7,0.340705
0,0,15,8,0.285264
0,0,15,9,0.321994
0,0,16,0,0.134705
0,0,16,1,0.249577
0,0,16,2,0.200076
0,0,16,3,0.190243
0,0,16,4,0.203498
0,0,16,5,0.181205
0,0,16,6,0.184351
0,0,16,7,0.211986
0,0,16,8,0.0999626
0,0,16,9,0.235245
0,0,17,0,0.233655
0,0,17,1,0.247358
0,0,17,2,0.298327
0,0,17,3,0.235492
0,0,17,4,0.23972
0,0,17,5,0.305833
0,0,17,6,0.265514
0,0,17,7,0.223853
0,0,17,8,0.273033
0,0,17,9,0.218925
0,0,18,0,0.204143
0,0,18,1,0.201615
0,0,18,2,0.251508
0,0,18,3,0.2363
0,0,18,4,0.223209
0,0,18,5,0.250198
0,0,18,6,0.258417
0,0,18,7,0.222934
0,0,18,8,0.255754
0,0,18,9,0.29551
0,0,19,0,0.30007
0,0,19,1,0.310516
0,0,19,2,0.308788
0,0,19,3,0.245208
0,0,19,4,0.312465
0,0,19,5,0.313013
0,0,19,6,0.296771
0,0,19,7,0.331501
0,0,19,8,0.333169
0,0,19,9,0.293107
0,0,20,0,0.229255
0,0,20,1,0.143026
0,0,20,2,0.212523
0,0,20,3,0.206772
0,0,20,4,0.165304
0,0,20,5,0.201776
0,0,20,6,0.170081
0,0,20,7,0.227303
0,0,20,8,0.235777
0,0,20,9,0.137218
0,0,21,0,0.115377
0,0,21,1,0.169948
0,0,21,2,0.170739
0,0,21,3,0.122104
0,0,21,4,0.168533
0,0,21,5,0.134857
0,0,21,6,0.20742
0,0,21,7,0.190727
0,0,21,8,0.13206
0,0,21,9,0.112977
0,0,22,0,0.294526
0,0,22,1,0.311178
0,0,22,2,0.323384
0,0,22,3,0.273191
0,0,22,4,0.360981
0,0,22,5,0.314254
0,0,22,6,0.336761
0,0,22,7,0.328986
0,0,22,8,0.329875
0,0,22,9,0.326966
0,0,23,0,0.252227
0,0,23,1,0.282034
0,0,23,2,0.293368
0,0,23,3,0.250233
0,0,23,4,0.236225
0,0,23,5,0.244613
0,0,23,6,0.219219
0,0,23,7,0.163216
0,0,23,8,0.251025
0,0,23,9,0.259158
0,0,24,0,0.139379
0,0,24,1,0.140498
0,0,24,2,0.129132
0,0,24,3,0.156241
0,0,24,4,0.182424
0,0,24,5,0.113029
0,0,24,6,0.138699
0,0,24,7,0.156935
0,0,24,8,0.149338
0,0,24,9,0.207077
0,0,25,0,0.180529
0,0,25,1,0.20006
0,0,25,2,0.1655
0,0,25,3,0.164589
0,0,25,4,0.196013
0,0,25,5,0.216609
0,0,25,6,0.239082
0,0,25,7,0.183203
0,0,25,8,0.189759
0,0,25,9,0.176251
0,0,26,0,0.241242
0,0,26,1,0.141168
0,0,26,2,0.225221
0,0,26,3,0.182563
0,0,26,4,0.169509
0,0,26,5,0.246355
0,0,26,6,0.204911
0,0,26,7,0.283769
0,0,26,8,0.239431
0,0,26,9,0.205678
0,0,27,0,0.276448
0,0,27,1,0.235546
0,0,27,2,0.254621
0,0,27,3,0.249698
0,0,27,4,0.284145
0,0,27,5,0.275596
0,0,27,6,0.240897
0,0,27,7,0.280331
0,0,27,8,0.191076
0,0,27,9,0.274573
0,0,28,0,0.280705
0,0,28,1,0.244062
0,0,28,2,0.277481
0,0,28,3,0.229764
0,0,28,4,0.183969
0,0,28,5,0.168684
0,0,28,6,0.184487
0,0,28,7,0.215151
0,0,28,8,0.214234
0,0,28,9,0.243384
0,0,29,0,0.218493
0,0,29,1,0.243162
0,0,29,2,0.248332
0,0,29,3,0.246283
0,0,29,4,0.260565
0,0,29,5,0.24903
0,0,29,6,0.271194
0,0,29,7,0.203495
0,0,29,8,0.237578
0,0,29,9,0.3209
0,0,30,0,0.252503
0,0,30,1,0.226787
0,0,30,2,0.275737
0,0,30,3,0.287684
0,0,30,4,0.279027
0,0,30,5,0.281502
0,0,30,6,0.259313
0,0,30,7,0.269055
0,0,30,8,0.279485
0,0,30,9,0.270271
0,0,31,0,0.235233
0,0,31,1,0.20986
0,0,31,2,0.277968
0,0,31,3,0.174667
0,0,31,4,0.237893
0,0,31,5,0.292398
0,0,31,6,0.247219
0,0,31,7,0.223977
0,0,31,8,0.234142
0,0,31,9,0.223805
0,0,32,0,0.328451
0,0,32,1,0.284276
0,0,32,2,0.249544
0,0,32,3,0.259853
0,0,32,4,0.277212
0,0,32,5,0.296612
0,0,32,6,0.305683
0,0,32,7,0.312469
0,0,32,8,0.335174
0,0,32,9,0.314322
0,0,33,0,0.316998
0,0,33,1,0.372314
0,0,33,2,0.305058
0,0,33,3,0.376625
0,0,33,4,0.294261
0,0,33,5,0.348108
0,0,33,6,0.349025
0,0,33,7,0.303638
0,0,33,8,0.323584
0,0,33,9,0.352135
0,0,34,0,0.187516
0,0,34,1,0.159716
0,0,34,2,0.196791
0,0,34,3,0.16109
0,0,34,4,0.173021
0,0,34,5,0.115798
0,0,34,6,0.209961
0,0,34,7,0.171221
0,0,34,8,0.167822
0,0,34,9,0.164437
0,0,35,0,0.21098
0,0,35,1,0.1869
0,0,35,2,0.213391
0,0,35,3,0.163229
0,0,35,4,0.210355
0,0,35,5,0.219266
0,0,35,6,0.189938
0,0,35,7,0.168751
0,0,35,8,0.161717
0,0,35,9,0.193289
0,0,36,0,0.212908
0,0,36,1,0.219865
0,0,36,2,0.190855
0,0,36,3,0.149388
0,0,36,4,0.168247
0,0,36,5,0.167058
0,0,36,6,0.238371
0,0,36,7,0.268596
0,0,36,8,0.183094
0,0,36,9,0.221128
0,0,37,0,0.349968
0,0,37,1,0.317025
0,0,37,2,0.316931
0,0,37,3,0.32694
0,0,37,4,0.291848
0,0,37,5,0.339133
0,0,37,6,0.348648
0,0,37,7,0.35157
0,0,37,8,0.306823
0,0,37,9,0.346783
0,0,38,0,0.266164
0,0,38,1,0.259187
0,0,38,2,0.237907
0,0,38,3,0.251094
0,0,38,4,0.289021
0,0,38,5,0.267878
0,0,38,6,0.238752
0,0,38,7,0.248858
0,0,38,8,0.235756
