OPTIM_ID,STEP_ID,PARTICLE_ID,SAMPLE_ID,COST_VALUE
0,0,0,0,0.117302
0,0,0,1,0.126278
0,0,0,2,0.0934613
0,0,0,3,0.151641
0,0,0,4,0.139089
0,0,0,5,0.158349
0,0,0,6,0.116716
0,0,0,7,0.140438
0,0,0,8,0.103447
0,0,0,9,0.168137
0,0,1,0,0.106365
0,0,1,1,0.152399
0,0,1,2,0.160176
0,0,1,3,0.172907
0,0,1,4,0.152549
0,0,1,5,0.154024
0,0,1,6,0.143914
0,0,1,7,0.151191
0,0,1,8,0.149099
0,0,1,9,0.12627
0,0,2,0,0.207601
0,0,2,1,0.194215
0,0,2,2,0.175968
0,0,2,3,0.190316
0,0,2,4,0.244683
0,0,2,5,0.144461
0,0,2,6,0.204147
0,0,2,7,0.191744
0,0,2,8,0.200756
0,0,2,9,0.22064
0,0,3,0,0.144303
0,0,3,1,0.16019
0,0,3,2,0.202594
0,0,3,3,0.186946
0,0,3,4,0.195981
0,0,3,5,0.231675
0,0,3,6,0.218046
0,0,3,7,0.251621
0,0,3,8,0.250823
0,0,3,9,0.275012
0,0,4,0,0.228629
0,0,4,1,0.236253
0,0,4,2,0.194554
0,0,4,3,0.190755
0,0,4,4,0.20289
0,0,4,5,0.175148
0,0,4,6,0.180854
0,0,4,7,0.196986
0,0,4,8,0.18331
0,0,4,9,0.215047
0,0,5,0,0.19755
0,0,5,1,0.123275
0,0,5,2,0.165238
0,0,5,3,0.157273
0,0,5,4,0.184406
0,0,5,5,0.181516
0,0,5,6,0.144676
0,0,5,7,0.23944
0,0,5,8,0.205138
0,0,5,9,0.179049
0,0,6,0,0.189573
0,0,6,1,0.161456
0,0,6,2,0.187647
0,0,6,3,0.229494
0,0,6,4,0.186505
0,0,6,5,0.237136
0,0,6,6,0.160701
0,0,6,7,0.181156
0,0,6,8,0.197151
0,0,6,9,0.163936
0,0,7,0,0.234182
0,0,7,1,0.221362
0,0,7,2,0.222848
0,0,7,3,0.236973
0,0,7,4,0.226095
0,0,7,5,0.243603
0,0,7,6,0.255835
0,0,7,7,0.244819
0,0,7,8,0.228145
0,0,7,9,0.178371
0,0,8,0,0.277052
0,0,8,1,0.230728
0,0,8,2,0.208631
0,0,8,3,0.220857
0,0,8,4,0.238393
0,0,8,5,0.216755
0,0,8,6,0.281095
0,0,8,7,0.241655
0,0,8,8,0.245741
0,0,8,9,0.25994
0,0,9,0,0.208216
0,0,9,1,0.10814
0,0,9,2,0.147194
0,0,9,3,0.12351
0,0,9,4,0.157763
0,0,9,5,0.1188
0,0,9,6,0.121775
0,0,9,7,0.123517
0,0,9,8,0.150226
0,0,9,9,0.161482
0,0,10,0,0.147243
0,0,10,1,0.183825
0,0,10,2,0.156448
0,0,10,3,0.130788
0,0,10,4,0.142079
0,0,10,5,0.156996
0,0,10,6,0.146908
0,0,10,7,0.155708
0,0,10,8,0.151243
0,0,10,9,0.154809
0,0,11,0,0.148866
0,0,11,1,0.18145
0,0,11,2,0.192696
0,0,11,3,0.127396
0,0,11,4,0.145431
0,0,11,5,0.167755
0,0,11,6,0.134073
0,0,11,7,0.1539
0,0,11,8,0.152333
0,0,11,9,0.10852
0,0,12,0,0.256615
0,0,12,1,0.286022
0,0,12,2,0.257295
0,0,12,3,0.250697
0,0,12,4,0.258176
0,0,12,5,0.26028
0,0,12,6,0.241746
0,0,12,7,0.225407
0,0,12,8,0.237065
0,0,12,9,0.229473
0,0,13,0,0.273384
0,0,13,1,0.275231
0,0,13,2,0.250512
0,0,13,3,0.272067
0,0,13,4,0.207398
0,0,13,5,0.203291
0,0,13,6,0.266355
0,0,13,7,0.244982
0,0,13,8,0.273049
0,0,13,9,0.254884
0,0,14,0,0.240309
0,0,14,1,0.185412
0,0,14,2,0.265882
0,0,14,3,0.254508
0,0,14,4,0.206315
0,0,14,5,0.158005
0,0,14,6,0.174074
0,0,14,7,0.195449
0,0,14,8,0.20704
0,0,14,9,0.278433
0,0,15,0,0.206342
0,0,15,1,0.18628
0,0,15,2,0.139372
0,0,15,3,0.204009
0,0,15,4,0.181826
0,0,15,5,0.219156
0,0,15,6,0.15933
0,0,15,7,0.200309
0,0,15,8,0.187479
0,0,15,9,0.229555
0,0,16,0,0.175556
0,0,16,1,0.182912
0,0,16,2,0.218735
0,0,16,3,0.207962
0,0,16,4,0.213752
0,0,16,5,0.274341
0,0,16,6,0.230284
0,0,16,7,0.178521
0,0,16,8,0.189005
0,0,16,9,0.148004
0,0,17,0,0.186455
0,0,17,1,0.212659
0,0,17,2,0.187924
0,0,17,3,0.159189
0,0,17,4,0.131153
0,0,17,5,0.261586
0,0,17,6,0.191505
0,0,17,7,0.254513
0,0,17,8,0.195573
0,0,17,9,0.191271
0,0,18,0,0.151353
0,0,18,1,0.153892
0,0,18,2,0.148071
0,0,18,3,0.16193
0,0,18,4,0.152123
0,0,18,5,0.150051
0,0,18,6,0.172714
0,0,18,7,0.164751
0,0,18,8,0.168321
0,0,18,9,0.157153
0,0,19,0,0.235589
0,0,19,1,0.202463
0,0,19,2,0.225677
0,0,19,3,0.18015
0,0,19,4,0.249031
0,0,19,5,0.215171
0,0,19,6,0.237365
0,0,19,7,0.232171
0,0,19,8,0.21093
0,0,19,9,0.242562
0,0,20,0,0.189402
0,0,20,1,0.167055
0,0,20,2,0.124765
0,0,20,3,0.137205
0,0,20,4,0.201181
0,0,20,5,0.146928
0,0,20,6,0.207877
0,0,20,7,0.110396
0,0,20,8,0.109494
0,0,20,9,0.156678
0,0,21,0,0.140442
0,0,21,1,0.103234
0,0,21,2,0.148183
0,0,21,3,0.163663
0,0,21,4,0.171811
0,0,21,5,0.145999
0,0,21,6,0.139461
0,0,21,7,0.139218
0,0,21,8,0.13935
0,0,21,9,0.14316
0,0,22,0,0.25366
0,0,22,1,0.202994
0,0,22,2,0.239844
0,0,22,3,0.173312
0,0,22,4,0.221444
0,0,22,5,0.202764
0,0,22,6,0.194858
0,0,22,7,0.212859
0,0,22,8,0.20189
0,0,22,9,0.213528
0,0,23,0,0.244625
0,0,23,1,0.229397
0,0,23,2,0.214565
0,0,23,3,0.216803
0,0,23,4,0.181495
0,0,23,5,0.232959
0,0,23,6,0.230676
0,0,23,7,0.194353
0,0,23,8,0.230818
0,0,23,9,0.242611
0,0,24,0,0.214861
0,0,24,1,0.271865
0,0,24,2,0.26127
0,0,24,3,0.226434
0,0,24,4,0.23032
0,0,24,5,0.236664
0,0,24,6,0.245764
0,0,24,7,0.225815
0,0,24,8,0.193481
0,0,24,9,0.247988
0,0,25,0,0.187671
0,0,25,1,0.239879
0,0,25,2,0.274708
0,0,25,3,0.268907
0,0,25,4,0.209714
0,0,25,5,0.248847
0,0,25,6,0.233011
0,0,25,7,0.189998
0,0,25,8,0.246946
0,0,25,9,0.230889
0,0,26,0,0.262622
0,0,26,1,0.237038
0,0,26,2,0.266263
0,0,26,3,0.238822
0,0,26,4,0.263039
0,0,26,5,0.271724
0,0,26,6,0.202271
0,0,26,7,0.254103
0,0,26,8,0.247978
0,0,26,9,0.252022
0,0,27,0,0.129199
0,0,27,1,0.119895
0,0,27,2,0.185878
0,0,27,3,0.127211
0,0,27,4,0.104564
