OPTIM_ID,STEP_ID,PARTICLE_ID,SAMPLE_ID,COST_VALUE
0,0,0,0,0.377104
0,0,0,1,0.36491
0,0,0,2,0.390157
0,0,0,3,0.3479
0,0,0,4,0.368882
0,0,0,5,0.37227
0,0,0,6,0.350272
0,0,0,7,0.39822
0,0,0,8,0.359196
0,0,0,9,0.336978
0,0,1,0,0.326102
0,0,1,1,0.300597
0,0,1,2,0.230531
0,0,1,3,0.279071
0,0,1,4,0.256762
0,0,1,5,0.291876
0,0,1,6,0.284855
0,0,1,7,0.223612
0,0,1,8,0.230642
0,0,1,9,0.28013
0,0,2,0,0.212314
0,0,2,1,0.267747
0,0,2,2,0.244368
0,0,2,3,0.238382
0,0,2,4,0.275931
0,0,2,5,0.305846
0,0,2,6,0.224151
0,0,2,7,0.235045
0,0,2,8,0.28887
0,0,2,9,0.242559
0,0,3,0,0.383119
0,0,3,1,0.400019
0,0,3,2,0.437122
0,0,3,3,0.401161
0,0,3,4,0.395193
0,0,3,5,0.353044
0,0,3,6,0.389629
0,0,3,7,0.414472
0,0,3,8,0.339816
0,0,3,9,0.436872
0,0,4,0,0.222669
0,0,4,1,0.276796
0,0,4,2,0.285082
0,0,4,3,0.261862
0,0,4,4,0.223103
0,0,4,5,0.254967
0,0,4,6,0.245872
0,0,4,7,0.269675
0,0,4,8,0.205496
0,0,4,9,0.243568
0,0,5,0,0.199114
0,0,5,1,0.17825
0,0,5,2,0.217285
0,0,5,3,0.23654
0,0,5,4,0.23056
0,0,5,5,0.184611
0,0,5,6,0.178296
0,0,5,7,0.225695
0,0,5,8,0.14752
0,0,5,9,0.170944
0,0,6,0,0.414978
0,0,6,1,0.395811
0,0,6,2,0.436824
0,0,6,3,0.451774
0,0,6,4,0.429488
0,0,6,5,0.454478
0,0,6,6,0.430507
0,0,6,7,0.422305
0,0,6,8,0.454218
0,0,6,9,0.462178
0,0,7,0,0.363261
0,0,7,1,0.310582
0,0,7,2,0.333435
0,0,7,3,0.335034
0,0,7,4,0.363933
0,0,7,5,0.330264
0,0,7,6,0.342924
0,0,7,7,0.34
0,0,7,8,0.31842
0,0,7,9,0.368859
0,0,8,0,0.237571
0,0,8,1,0.322946
0,0,8,2,0.329608
0,0,8,3,0.294412
0,0,8,4,0.322591
0,0,8,5,0.326121
0,0,8,6,0.320864
0,0,8,7,0.284869
0,0,8,8,0.258291
0,0,8,9,0.319461
0,0,9,0,0.313515
0,0,9,1,0.397614
0,0,9,2,0.384219
0,0,9,3,0.366834
0,0,9,4,0.353409
0,0,9,5,0.300403
0,0,9,6,0.385312
0,0,9,7,0.381892
0,0,9,8,0.343502
0,0,9,9,0.359964
0,0,10,0,0.38219
0,0,10,1,0.336697
0,0,10,2,0.36641
