"SAMPLE_ID","PAR_NAME","PAR_INDEX","PAR_VALUE"
0,"vac_dist",0,0.215602
0,"vac_dist",1,0.534303
0,"vac_dist",2,0.00378876
0,"vac_dist",3,0.246307
0,"vac_identifiable",0,0
0,"vac_protect_duration",0,96
0,"vac_rate",0,55484
1,"vac_dist",0,0.203663
1,"vac_dist",1,0.499477
1,"vac_dist",2,0.00636975
1,"vac_dist",3,0.29049
1,"vac_identifiable",0,0
1,"vac_protect_duration",0,96
1,"vac_rate",0,55484
2,"vac_dist",0,0.0771148
2,"vac_dist",1,0.727203
2,"vac_dist",2,0.0166952
2,"vac_dist",3,0.178987
2,"vac_identifiable",0,0
2,"vac_protect_duration",0,96
2,"vac_rate",0,55484
3,"vac_dist",0,0.219205
3,"vac_dist",1,0.543524
3,"vac_dist",2,0.0524092
3,"vac_dist",3,0.184862
3,"vac_identifiable",0,0
3,"vac_protect_duration",0,96
3,"vac_rate",0,55484
4,"vac_dist",0,0.273565
4,"vac_dist",1,0.417311
4,"vac_dist",2,0.0113878
4,"vac_dist",3,0.297736
4,"vac_identifiable",0,0
4,"vac_protect_duration",0,96
4,"vac_rate",0,55484
5,"vac_dist",0,0.323686
5,"vac_dist",1,0.431757
5,"vac_dist",2,0.0293532
5,"vac_dist",3,0.215204
5,"vac_identifiable",0,0
5,"vac_protect_duration",0,96
5,"vac_rate",0,55484
6,"vac_dist",0,0.181069
6,"vac_dist",1,0.528942
6,"vac_dist",2,0.0434179
6,"vac_dist",3,0.246571
6,"vac_identifiable",0,0
6,"vac_protect_duration",0,96
6,"vac_rate",0,55484
7,"vac_dist",0,0.182578
7,"vac_dist",1,0.490733
7,"vac_dist",2,0.00374874
7,"vac_dist",3,0.32294
7,"vac_identifiable",0,0
7,"vac_protect_duration",0,96
7,"vac_rate",0,55484
8,"vac_dist",0,0.0766027
8,"vac_dist",1,0.584543
8,"vac_dist",2,0.075074
8,"vac_dist",3,0.263781
8,"vac_identifiable",0,0
8,"vac_protect_duration",0,96
8,"vac_rate",0,55484
9,"vac_dist",0,0.350756
9,"vac_dist",1,0.435213
9,"vac_dist",2,0.0342327
9,"vac_dist",3,0.179798
9,"vac_identifiable",0,0
9,"vac_protect_duration",0,96
9,"vac_rate",0,55484
10,"vac_dist",0,0.241285
10,"vac_dist",1,0.637876
10,"vac_dist",2,0.0184935
10,"vac_dist",3,0.102346
10,"vac_identifiable",0,0
10,"vac_protect_duration",0,96
10,"vac_rate",0,55484
11,"vac_dist",0,0.239505
11,"vac_dist",1,0.421806
11,"vac_dist",2,0.0529561
11,"vac_dist",3,0.285733
11,"vac_identifiable",0,0
11,"vac_protect_duration",0,96
11,"vac_rate",0,55484
12,"vac_dist",0,0.0789946
12,"vac_dist",1,0.666738
12,"vac_dist",2,0.0329155
12,"vac_dist",3,0.221352
12,"vac_identifiable",0,0
12,"vac_protect_duration",0,96
12,"vac_rate",0,55484
13,"vac_dist",0,0.265388
13,"vac_dist",1,0.374948
13,"vac_dist",2,0.0227162
13,"vac_dist",3,0.336948
13,"vac_identifiable",0,0
13,"vac_protect_duration",0,96
13,"vac_rate",0,55484
14,"vac_dist",0,0.23561
14,"vac_dist",1,0.581238
14,"vac_dist",2,0.0587542
14,"vac_dist",3,0.124398
14,"vac_identifiable",0,0
14,"vac_protect_duration",0,96
14,"vac_rate",0,55484
15,"vac_dist",0,0.189194
15,"vac_dist",1,0.771614
15,"vac_dist",2,0.0033281
15,"vac_dist",3,0.0358635
15,"vac_identifiable",0,0
15,"vac_protect_duration",0,96
15,"vac_rate",0,55484
