"SAMPLE_ID","REP_ID","ISLAND_ID","TOTAL_VAC_TIME","TOTAL_INF_AVERTED","EFFECTIVENESS"
0,0,-1,1681,718708.908145039,0.441051220843161
0,0,0,1681,217025.977255495,0.994226911001056
0,0,1,1681,385161.155164407,0.314442502749913
0,0,2,1681,22818.0515973722,0.986955401177656
0,0,3,1681,93703.7241277651,0.574064191424953
0,1,-1,1681,795016.141305528,0.483026572941869
0,1,0,1681,213898.019361314,0.994022982336976
0,1,1,1681,463734.708056263,0.370268845109212
0,1,2,1681,15739.7023691811,0.987570268878371
0,1,3,1681,101643.71151877,0.626052264525342
0,2,-1,1681,805832.163834313,0.498436558736333
0,2,0,1681,199418.208047359,0.996263384467516
0,2,1,1681,479703.028130217,0.388464217810728
0,2,2,1681,26641.3882434436,0.983199104252042
0,2,3,1681,100069.539413293,0.647337835082678
0,3,-1,1681,904724.23882057,0.529625597671637
0,3,0,1681,206751.779818359,0.994797835836825
0,3,1,1681,566807.042298542,0.435115972427813
0,3,2,1681,28417.6848713245,0.981262602890746
0,3,3,1681,102747.731832344,0.608756741232693
0,4,-1,1681,903455.089735771,0.546431141530145
0,4,0,1681,197640.310976692,0.997076593466501
0,4,1,1681,577261.530977285,0.455295669863032
0,4,2,1681,24186.9308969967,0.977186561555484
0,4,3,1681,104366.316884797,0.642175465786832
0,5,-1,1681,845214.400703438,0.507973181780956
0,5,0,1681,208303.551965771,0.992784206946478
0,5,1,1681,516489.259542281,0.407302074959436
0,5,2,1681,21407.0242420968,0.984482212339095
0,5,3,1681,99014.5649532884,0.60279354778061
0,6,-1,1681,769765.621823005,0.453659660815751
0,6,0,1681,209200.2311606,0.996731729611222
0,6,1,1681,439224.6138107,0.339754701005927
0,6,2,1681,23680.392141705,0.984486452547666
0,6,3,1681,97660.38471,0.574197749715771
0,7,-1,1681,871096.694093369,0.513308586401299
0,7,0,1681,214871.40737655,0.986962952792241
0,7,1,1681,540792.52891167,0.420223751897357
0,7,2,1681,17366.7235197337,0.986535175008608
0,7,3,1681,98066.0342854154,0.561036784616365
0,8,-1,1681,732116.158090573,0.46980276585252
0,8,0,1681,205424.06716275,0.997432640970319
0,8,1,1681,405874.7208374,0.34673515611257
0,8,2,1681,21203.6836843233,0.984374483232748
0,8,3,1681,99613.6864061,0.621445091194987
0,9,-1,1681,874465.960867166,0.513634110498888
0,9,0,1681,206248.052271246,0.990334932522459
0,9,1,1681,551900.10838675,0.423794263803437
0,9,2,1681,18937.5597600143,0.986073040438065
0,9,3,1681,97380.240449156,0.563678328231707
0,10,-1,1681,848727.952972471,0.523899942548841
0,10,0,1681,217805.770657913,0.997578258166065
0,10,1,1681,518925.22926,0.422303871516617
0,10,2,1681,24973.2699756776,0.986759070632344
0,10,3,1681,87023.68307888,0.589669390877574
0,11,-1,1681,765234.14223168,0.477271306956033
0,11,0,1681,207615.428556862,0.994722362582033
0,11,1,1681,434930.38526239,0.354842112131124
0,11,2,1681,19353.2052394678,0.986952820935918
0,11,3,1681,103335.12317296,0.692013321764321
0,12,-1,1681,703716.435157162,0.448755661433935
0,12,0,1681,225922.320470925,0.992022509255044
0,12,1,1681,363024.41722095,0.313949215695839
0,12,2,1681,17304.922763139,0.989026057551707
0,12,3,1681,97464.7747021479,0.585026966494537
0,13,-1,1681,813652.874642092,0.474132270095162
0,13,0,1681,209001.382654298,0.992456835351863
0,13,1,1681,481648.827149406,0.36578491509108
0,13,2,1681,21062.3677286135,0.984202748273636
0,13,3,1681,101940.297109774,0.609166762020442
0,14,-1,1681,905054.809364299,0.526307537976921
0,14,0,1681,214756.697921511,0.99496953496686
0,14,1,1681,571633.596892413,0.433547483825189
0,14,2,1681,17094.76014148,0.986676713160887
0,14,3,1681,101569.754408895,0.604725281362082
0,15,-1,1681,930893.611830639,0.552340154249931
0,15,0,1681,223999.680147551,0.993362075275192
0,15,1,1681,576887.837432385,0.454153403752549
0,15,2,1681,22589.6633488696,0.987038809680291
0,15,3,1681,107416.430901833,0.6442488964432
0,16,-1,1681,794843.846964867,0.484274230810476
0,16,0,1681,226885.116835995,0.990268441635365
0,16,1,1681,457887.735350869,0.373464253994093
0,16,2,1681,12975.027041386,0.989681781654307
0,16,3,1681,97095.967736617,0.561153377803168
0,17,-1,1681,827703.067404773,0.508697862127451
0,17,0,1681,206160.447348247,0.995584895331012
0,17,1,1681,502879.217439255,0.404839296698193
0,17,2,1681,15981.0617957258,0.989578173746444
0,17,3,1681,102682.340821546,0.634988183871141
0,18,-1,1681,860585.981674346,0.505166971497682
0,18,0,1681,212501.108654168,0.995251153007282
0,18,1,1681,524321.76230242,0.399321297810236
0,18,2,1681,19696.9905686584,0.987359643486572
0,18,3,1681,104066.1201491,0.662542412812794
0,19,-1,1681,905341.920004214,0.520935353330249
0,19,0,1681,209580.58162629,0.995123295098351
0,19,1,1681,578707.80810547,0.430890095202033
0,19,2,1681,18918.6530346537,0.986232940443067
0,19,3,1681,98134.8772378,0.594491432753769
0,20,-1,1681,841575.257110141,0.507789787169679
0,20,0,1681,212954.420761356,0.992724400768567
0,20,1,1681,511498.102073198,0.404259545925401
0,20,2,1681,18072.0888728967,0.989824925462072
0,20,3,1681,99050.64540269,0.621843619356714
0,21,-1,1681,784116.29208077,0.469404931288406
0,21,0,1681,216005.658439937,0.991996690528261
0,21,1,1681,457150.565751514,0.360414585351431
0,21,2,1681,15949.1115358251,0.988772531139243
0,21,3,1681,95010.9563534946,0.56497992779601
0,22,-1,1681,849192.491255614,0.518857979515028
0,22,0,1681,201905.322450995,0.994081209660833
0,22,1,1681,526196.192394673,0.42365067641386
0,22,2,1681,19460.0828105666,0.984382071482459
0,22,3,1681,101630.893599379,0.591811314575712
0,23,-1,1681,733967.471649169,0.474602424700241
0,23,0,1681,220194.007531939,0.994021760342167
0,23,1,1681,408115.43632061,0.352014918396053
0,23,2,1681,16185.8864550595,0.989640614134182
0,23,3,1681,89472.14134156,0.599495372870564
0,24,-1,1681,854828.92281709,0.510740606002056
0,24,0,1681,215933.55848665,0.99515225321238
0,24,1,1681,519294.06603655,0.40885110115509
0,24,2,1681,18314.1878448897,0.986349207279354
0,24,3,1681,101287.110449,0.602822320054279
0,25,-1,1681,792218.907475158,0.465087941999356
0,25,0,1681,204218.964270583,0.989797968814842
0,25,1,1681,479710.0089833,0.361736906560541
0,25,2,1681,14152.67091927,0.990769376545642
0,25,3,1681,94137.263302005,0.600992086886907
0,26,-1,1681,820596.473346756,0.48386325926584
0,26,0,1681,210270.54112713,0.991997755002293
0,26,1,1681,488221.494372951,0.378511630142545
0,26,2,1681,22083.1175946655,0.982170980574196
0,26,3,1681,100021.32025201,0.58277214531583
0,27,-1,1681,850255.897729169,0.518615515733543
0,27,0,1681,187971.056403741,0.992831526256167
0,27,1,1681,544633.054835311,0.429240983705068
0,27,2,1681,20218.8684677172,0.987069725626525
0,27,3,1681,97432.9180224007,0.605804098611114
0,28,-1,1681,839088.164236344,0.51146840857373
