"SAMPLE_ID","PAR_NAME","PAR_INDEX","PAR_VALUE"
0,"vac_dist",0,0.320616
0,"vac_dist",1,0.348489
0,"vac_dist",2,0.0844911
0,"vac_dist",3,0.246404
0,"vac_identifiable",0,0
0,"vac_protect_duration",0,96
0,"vac_rate",0,36989.3
1,"vac_dist",0,0.411096
1,"vac_dist",1,0.120743
1,"vac_dist",2,0.108967
1,"vac_dist",3,0.359195
1,"vac_identifiable",0,0
1,"vac_protect_duration",0,96
1,"vac_rate",0,36989.3
2,"vac_dist",0,0.552185
2,"vac_dist",1,0.232464
2,"vac_dist",2,0.0371766
2,"vac_dist",3,0.178175
2,"vac_identifiable",0,0
2,"vac_protect_duration",0,96
2,"vac_rate",0,36989.3
3,"vac_dist",0,0.38849
3,"vac_dist",1,0.352688
3,"vac_dist",2,0.00916912
3,"vac_dist",3,0.249652
3,"vac_identifiable",0,0
3,"vac_protect_duration",0,96
3,"vac_rate",0,36989.3
4,"vac_dist",0,0.259014
4,"vac_dist",1,0.441667
4,"vac_dist",2,0.0310511
4,"vac_dist",3,0.268268
4,"vac_identifiable",0,0
4,"vac_protect_duration",0,96
4,"vac_rate",0,36989.3
5,"vac_dist",0,0.326804
5,"vac_dist",1,0.414508
5,"vac_dist",2,0.072445
5,"vac_dist",3,0.186243
5,"vac_identifiable",0,0
5,"vac_protect_duration",0,96
5,"vac_rate",0,36989.3
6,"vac_dist",0,0.304312
6,"vac_dist",1,0.515056
6,"vac_dist",2,0.0409358
6,"vac_dist",3,0.139696
6,"vac_identifiable",0,0
6,"vac_protect_duration",0,96
6,"vac_rate",0,36989.3
7,"vac_dist",0,0.552791
7,"vac_dist",1,0.228258
7,"vac_dist",2,0.0153176
7,"vac_dist",3,0.203634
7,"vac_identifiable",0,0
7,"vac_protect_duration",0,96
7,"vac_rate",0,36989.3
8,"vac_dist",0,0.468411
8,"vac_dist",1,0.275677
8,"vac_dist",2,0.0161095
8,"vac_dist",3,0.239802
8,"vac_identifiable",0,0
8,"vac_protect_duration",0,96
8,"vac_rate",0,36989.3
9,"vac_dist",0,0.434493
9,"vac_dist",1,0.411158
9,"vac_dist",2,0.0280712
9,"vac_dist",3,0.126278
9,"vac_identifiable",0,0
9,"vac_protect_duration",0,96
9,"vac_rate",0,36989.3
10,"vac_dist",0,0.346686
10,"vac_dist",1,0.387981
10,"vac_dist",2,0.0194002
10,"vac_dist",3,0.245933
10,"vac_identifiable",0,0
10,"vac_protect_duration",0,96
10,"vac_rate",0,36989.3
11,"vac_dist",0,0.395375
11,"vac_dist",1,0.146596
11,"vac_dist",2,0.073065
11,"vac_dist",3,0.384964
11,"vac_identifiable",0,0
11,"vac_protect_duration",0,96
11,"vac_rate",0,36989.3
12,"vac_dist",0,0.535107
12,"vac_dist",1,0.215605
12,"vac_dist",2,0.00637381
12,"vac_dist",3,0.242915
12,"vac_identifiable",0,0
12,"vac_protect_duration",0,96
12,"vac_rate",0,36989.3
13,"vac_dist",0,0.471055
13,"vac_dist",1,0.367856
13,"vac_dist",2,0.0127651
13,"vac_dist",3,0.148324
13,"vac_identifiable",0,0
13,"vac_protect_duration",0,96
13,"vac_rate",0,36989.3
14,"vac_dist",0,0.399183
14,"vac_dist",1,0.423738
14,"vac_dist",2,0.0574527
14,"vac_dist",3,0.119627
14,"vac_identifiable",0,0
14,"vac_protect_duration",0,96
14,"vac_rate",0,36989.3
15,"vac_dist",0,0.312455
15,"vac_dist",1,0.471191
15,"vac_dist",2,0.0102677
15,"vac_dist",3,0.206086
15,"vac_identifiable",0,0
15,"vac_protect_duration",0,96
15,"vac_rate",0,36989.3
16,"vac_dist",0,0.419339
16,"vac_dist",1,0.279586
16,"vac_dist",2,0.0285151
16,"vac_dist",3,0.272559
16,"vac_identifiable",0,0
16,"vac_protect_duration",0,96
16,"vac_rate",0,36989.3
17,"vac_dist",0,0.26893
17,"vac_dist",1,0.308157
17,"vac_dist",2,0.053444
17,"vac_dist",3,0.369469
17,"vac_identifiable",0,0
17,"vac_protect_duration",0,96
17,"vac_rate",0,36989.3
18,"vac_dist",0,0.398423
18,"vac_dist",1,0.327408
18,"vac_dist",2,0.00643698
18,"vac_dist",3,0.267732
18,"vac_identifiable",0,0
18,"vac_protect_duration",0,96
18,"vac_rate",0,36989.3
19,"vac_dist",0,0.371607
19,"vac_dist",1,0.209779
19,"vac_dist",2,0.0974227
19,"vac_dist",3,0.321191
19,"vac_identifiable",0,0
19,"vac_protect_duration",0,96
19,"vac_rate",0,36989.3
20,"vac_dist",0,0.321909
20,"vac_dist",1,0.370192
20,"vac_dist",2,0.0477593
20,"vac_dist",3,0.260139
20,"vac_identifiable",0,0
20,"vac_protect_duration",0,96
20,"vac_rate",0,36989.3
21,"vac_dist",0,0.353963
21,"vac_dist",1,0.386414
21,"vac_dist",2,0.0994905
21,"vac_dist",3,0.160133
21,"vac_identifiable",0,0
21,"vac_protect_duration",0,96
21,"vac_rate",0,36989.3
22,"vac_dist",0,0.482622
22,"vac_dist",1,0.120477
22,"vac_dist",2,0.000211459
22,"vac_dist",3,0.39669
22,"vac_identifiable",0,0
22,"vac_protect_duration",0,96
22,"vac_rate",0,36989.3
23,"vac_dist",0,0.496533
23,"vac_dist",1,0.307153
23,"vac_dist",2,0.00632041
23,"vac_dist",3,0.189993
23,"vac_identifiable",0,0
23,"vac_protect_duration",0,96
23,"vac_rate",0,36989.3
24,"vac_dist",0,0.340992
24,"vac_dist",1,0.492172
24,"vac_dist",2,0.0234234
24,"vac_dist",3,0.143412
24,"vac_identifiable",0,0
24,"vac_protect_duration",0,96
24,"vac_rate",0,36989.3
25,"vac_dist",0,0.45391
25,"vac_dist",1,0.23763
25,"vac_dist",2,0.0372119
25,"vac_dist",3,0.271247
25,"vac_identifiable",0,0
25,"vac_protect_duration",0,96
25,"vac_rate",0,36989.3
26,"vac_dist",0,0.367377
26,"vac_dist",1,0.171017
26,"vac_dist",2,0.0599441
26,"vac_dist",3,0.401662
26,"vac_identifiable",0,0
26,"vac_protect_duration",0,96
26,"vac_rate",0,36989.3
27,"vac_dist",0,0.463882
27,"vac_dist",1,0.275796
27,"vac_dist",2,0.00834115
27,"vac_dist",3,0.251982
27,"vac_identifiable",0,0
27,"vac_protect_duration",0,96
27,"vac_rate",0,36989.3
28,"vac_dist",0,0.404806
28,"vac_dist",1,0.382517
28,"vac_dist",2,0.055117
28,"vac_dist",3,0.157561
28,"vac_identifiable",0,0
28,"vac_protect_duration",0,96
28,"vac_rate",0,36989.3
29,"vac_dist",0,0.400949
29,"vac_dist",1,0.0276016
29,"vac_dist",2,0.0571727
29,"vac_dist",3,0.514277
29,"vac_identifiable",0,0
29,"vac_protect_duration",0,96
29,"vac_rate",0,36989.3
30,"vac_dist",0,0.394713
30,"vac_dist",1,0.220721
30,"vac_dist",2,0.0404475
30,"vac_dist",3,0.344118
30,"vac_identifiable",0,0
30,"vac_protect_duration",0,96
30,"vac_rate",0,36989.3
31,"vac_dist",0,0.319121
31,"vac_dist",1,0.326868
31,"vac_dist",2,0.056495
31,"vac_dist",3,0.297516
31,"vac_identifiable",0,0
31,"vac_protect_duration",0,96
31,"vac_rate",0,36989.3
32,"vac_dist",0,0.343383
32,"vac_dist",1,0.281832
32,"vac_dist",2,0.0637385
32,"vac_dist",3,0.311046
32,"vac_identifiable",0,0
32,"vac_protect_duration",0,96
32,"vac_rate",0,36989.3
33,"vac_dist",0,0.361181
33,"vac_dist",1,0.306557
33,"vac_dist",2,0.0299613
33,"vac_dist",3,0.3023
33,"vac_identifiable",0,0
33,"vac_protect_duration",0,96
33,"vac_rate",0,36989.3
34,"vac_dist",0,0.367024
34,"vac_dist",1,0.439311
34,"vac_dist",2,0.0492158
34,"vac_dist",3,0.144449
34,"vac_identifiable",0,0
34,"vac_protect_duration",0,96
34,"vac_rate",0,36989.3
35,"vac_dist",0,0.460443
35,"vac_dist",1,0.362104
35,"vac_dist",2,0.00062445
35,"vac_dist",3,0.176828
35,"vac_identifiable",0,0
35,"vac_protect_duration",0,96
35,"vac_rate",0,36989.3
36,"vac_dist",0,0.128006
36,"vac_dist",1,0.654285
