"SAMPLE_ID","PAR_NAME","PAR_INDEX","PAR_VALUE"
0,"vac_dist",0,0.024636
0,"vac_dist",1,0.687502
0,"vac_dist",2,0.0161195
0,"vac_dist",3,0.271743
0,"vac_identifiable",0,0
0,"vac_protect_duration",0,96
0,"vac_rate",0,73978.6
1,"vac_dist",0,0.276317
1,"vac_dist",1,0.596854
1,"vac_dist",2,0.00706594
1,"vac_dist",3,0.119763
1,"vac_identifiable",0,0
1,"vac_protect_duration",0,96
1,"vac_rate",0,73978.6
2,"vac_dist",0,0.149922
2,"vac_dist",1,0.714942
2,"vac_dist",2,0.0215645
2,"vac_dist",3,0.113572
2,"vac_identifiable",0,0
2,"vac_protect_duration",0,96
2,"vac_rate",0,73978.6
3,"vac_dist",0,0.247805
3,"vac_dist",1,0.548413
3,"vac_dist",2,0.0353558
3,"vac_dist",3,0.168426
3,"vac_identifiable",0,0
3,"vac_protect_duration",0,96
3,"vac_rate",0,73978.6
4,"vac_dist",0,0.226362
4,"vac_dist",1,0.542593
4,"vac_dist",2,0.00795927
4,"vac_dist",3,0.223086
4,"vac_identifiable",0,0
4,"vac_protect_duration",0,96
4,"vac_rate",0,73978.6
5,"vac_dist",0,0.272912
5,"vac_dist",1,0.480585
5,"vac_dist",2,0.0205177
5,"vac_dist",3,0.225985
5,"vac_identifiable",0,0
5,"vac_protect_duration",0,96
5,"vac_rate",0,73978.6
6,"vac_dist",0,0.258264
6,"vac_dist",1,0.51364
6,"vac_dist",2,0.0279648
6,"vac_dist",3,0.200131
6,"vac_identifiable",0,0
6,"vac_protect_duration",0,96
6,"vac_rate",0,73978.6
7,"vac_dist",0,0.179867
7,"vac_dist",1,0.647317
7,"vac_dist",2,0.00391049
7,"vac_dist",3,0.168906
7,"vac_identifiable",0,0
7,"vac_protect_duration",0,96
7,"vac_rate",0,73978.6
8,"vac_dist",0,0.0704322
8,"vac_dist",1,0.704809
8,"vac_dist",2,0.0548339
8,"vac_dist",3,0.169925
8,"vac_identifiable",0,0
8,"vac_protect_duration",0,96
8,"vac_rate",0,73978.6
9,"vac_dist",0,0.248894
9,"vac_dist",1,0.6076
9,"vac_dist",2,0.0491911
9,"vac_dist",3,0.0943143
9,"vac_identifiable",0,0
9,"vac_protect_duration",0,96
9,"vac_rate",0,73978.6
10,"vac_dist",0,0.118369
10,"vac_dist",1,0.704194
10,"vac_dist",2,0.00234301
10,"vac_dist",3,0.175094
10,"vac_identifiable",0,0
10,"vac_protect_duration",0,96
10,"vac_rate",0,73978.6
11,"vac_dist",0,0.200078
11,"vac_dist",1,0.585543
11,"vac_dist",2,0.113695
11,"vac_dist",3,0.100684
11,"vac_identifiable",0,0
11,"vac_protect_duration",0,96
11,"vac_rate",0,73978.6
12,"vac_dist",0,0.276667
12,"vac_dist",1,0.460403
12,"vac_dist",2,0.061042
12,"vac_dist",3,0.201888
12,"vac_identifiable",0,0
12,"vac_protect_duration",0,96
12,"vac_rate",0,73978.6
13,"vac_dist",0,0.0324815
13,"vac_dist",1,0.675487
13,"vac_dist",2,0.0380212
13,"vac_dist",3,0.25401
13,"vac_identifiable",0,0
13,"vac_protect_duration",0,96
13,"vac_rate",0,73978.6
14,"vac_dist",0,0.312588
14,"vac_dist",1,0.493014
14,"vac_dist",2,0.0128106
14,"vac_dist",3,0.181588
14,"vac_identifiable",0,0
14,"vac_protect_duration",0,96
14,"vac_rate",0,73978.6
15,"vac_dist",0,0.214642
15,"vac_dist",1,0.612669
15,"vac_dist",2,0.00525702
15,"vac_dist",3,0.167432
15,"vac_identifiable",0,0
15,"vac_protect_duration",0,96
15,"vac_rate",0,73978.6
16,"vac_dist",0,0.154209
16,"vac_dist",1,0.597465
16,"vac_dist",2,0.042166
16,"vac_dist",3,0.206159
16,"vac_identifiable",0,0
16,"vac_protect_duration",0,96
16,"vac_rate",0,73978.6
17,"vac_dist",0,0.237979
17,"vac_dist",1,0.551168
17,"vac_dist",2,0.0186774
17,"vac_dist",3,0.192175
17,"vac_identifiable",0,0
17,"vac_protect_duration",0,96
17,"vac_rate",0,73978.6
18,"vac_dist",0,0.231784
18,"vac_dist",1,0.524665
18,"vac_dist",2,0.0601933
18,"vac_dist",3,0.183358
18,"vac_identifiable",0,0
18,"vac_protect_duration",0,96
18,"vac_rate",0,73978.6
19,"vac_dist",0,0.228467
19,"vac_dist",1,0.629744
19,"vac_dist",2,0.0292629
19,"vac_dist",3,0.112526
19,"vac_identifiable",0,0
19,"vac_protect_duration",0,96
19,"vac_rate",0,73978.6
20,"vac_dist",0,0.202358
20,"vac_dist",1,0.566603
20,"vac_dist",2,0.0545346
20,"vac_dist",3,0.176504
20,"vac_identifiable",0,0
20,"vac_protect_duration",0,96
20,"vac_rate",0,73978.6
21,"vac_dist",0,0.272397
21,"vac_dist",1,0.378544
21,"vac_dist",2,0.00532708
21,"vac_dist",3,0.343731
21,"vac_identifiable",0,0
21,"vac_protect_duration",0,96
21,"vac_rate",0,73978.6
22,"vac_dist",0,0.186588
22,"vac_dist",1,0.674201
22,"vac_dist",2,0.00155039
22,"vac_dist",3,0.13766
22,"vac_identifiable",0,0
22,"vac_protect_duration",0,96
22,"vac_rate",0,73978.6
23,"vac_dist",0,0.227909
23,"vac_dist",1,0.625025
23,"vac_dist",2,0.0221975
23,"vac_dist",3,0.124868
23,"vac_identifiable",0,0
23,"vac_protect_duration",0,96
23,"vac_rate",0,73978.6
24,"vac_dist",0,0.191877
24,"vac_dist",1,0.652618
24,"vac_dist",2,0.0182099
24,"vac_dist",3,0.137295
24,"vac_identifiable",0,0
24,"vac_protect_duration",0,96
24,"vac_rate",0,73978.6
25,"vac_dist",0,0.0733321
25,"vac_dist",1,0.764162
25,"vac_dist",2,0.0359656
25,"vac_dist",3,0.12654
25,"vac_identifiable",0,0
25,"vac_protect_duration",0,96
25,"vac_rate",0,73978.6
26,"vac_dist",0,0.275576
26,"vac_dist",1,0.501739
26,"vac_dist",2,0.0321471
26,"vac_dist",3,0.190538
26,"vac_identifiable",0,0
26,"vac_protect_duration",0,96
26,"vac_rate",0,73978.6
27,"vac_dist",0,0.137462
27,"vac_dist",1,0.697753
27,"vac_dist",2,0.0659853
27,"vac_dist",3,0.0987992
27,"vac_identifiable",0,0
27,"vac_protect_duration",0,96
27,"vac_rate",0,73978.6
28,"vac_dist",0,0.247914
28,"vac_dist",1,0.454921
28,"vac_dist",2,0.0162946
28,"vac_dist",3,0.28087
28,"vac_identifiable",0,0
28,"vac_protect_duration",0,96
28,"vac_rate",0,73978.6
29,"vac_dist",0,0.15054
29,"vac_dist",1,0.628092
29,"vac_dist",2,0.0263038
29,"vac_dist",3,0.195064
29,"vac_identifiable",0,0
29,"vac_protect_duration",0,96
29,"vac_rate",0,73978.6
30,"vac_dist",0,0.206198
30,"vac_dist",1,0.520167
30,"vac_dist",2,0.0760657
30,"vac_dist",3,0.19757
30,"vac_identifiable",0,0
30,"vac_protect_duration",0,96
30,"vac_rate",0,73978.6
31,"vac_dist",0,0.102313
31,"vac_dist",1,0.675028
31,"vac_dist",2,0.0698369
31,"vac_dist",3,0.152822
31,"vac_identifiable",0,0
31,"vac_protect_duration",0,96
31,"vac_rate",0,73978.6
32,"vac_dist",0,0.151068
32,"vac_dist",1,0.612477
32,"vac_dist",2,0.076725
32,"vac_dist",3,0.15973
32,"vac_identifiable",0,0
32,"vac_protect_duration",0,96
32,"vac_rate",0,73978.6
33,"vac_dist",0,0.231661
33,"vac_dist",1,0.558703
33,"vac_dist",2,0.0984607
33,"vac_dist",3,0.111176
33,"vac_identifiable",0,0
33,"vac_protect_duration",0,96
33,"vac_rate",0,73978.6
34,"vac_dist",0,0.247697
34,"vac_dist",1,0.480325
34,"vac_dist",2,0.0253893
34,"vac_dist",3,0.246588
34,"vac_identifiable",0,0
34,"vac_protect_duration",0,96
34,"vac_rate",0,73978.6
35,"vac_dist",0,0.259925
35,"vac_dist",1,0.516719
35,"vac_dist",2,0.0023868
35,"vac_dist",3,0.220969
35,"vac_identifiable",0,0
35,"vac_protect_duration",0,96
35,"vac_rate",0,73978.6
36,"vac_dist",0,0.188818
36,"vac_dist",1,0.764256
36,"vac_dist",2,0.0186043
36,"vac_dist",3,0.0283214
36,"vac_identifiable",0,0
36,"vac_protect_duration",0,96
36,"vac_rate",0,73978.6
37,"vac_dist",0,0.19317
37,"vac_dist",1,0.614941
37,"vac_dist",2,0.0292997
37,"vac_dist",3,0.16259
37,"vac_identifiable",0,0
37,"vac_protect_duration",0,96
37,"vac_rate",0,73978.6
38,"vac_dist",0,0.256555
38,"vac_dist",1,0.64253
38,"vac_dist",2,0.0207246
38,"vac_dist",3,0.08019
38,"vac_identifiable",0,0
38,"vac_protect_duration",0,96
38,"vac_rate",0,73978.6
39,"vac_dist",0,0.189148
39,"vac_dist",1,0.5896
39,"vac_dist",2,0.0654244
39,"vac_dist",3,0.155828
39,"vac_identifiable",0,0
39,"vac_protect_duration",0,96
39,"vac_rate",0,73978.6
40,"vac_dist",0,0.244627
40,"vac_dist",1,0.545267
40,"vac_dist",2,0.0359432
40,"vac_dist",3,0.174163
40,"vac_identifiable",0,0
40,"vac_protect_duration",0,96
40,"vac_rate",0,73978.6
41,"vac_dist",0,0.0792808
41,"vac_dist",1,0.605489
41,"vac_dist",2,0.0526253
41,"vac_dist",3,0.262605
41,"vac_identifiable",0,0
41,"vac_protect_duration",0,96
41,"vac_rate",0,73978.6
42,"vac_dist",0,0.0542135
42,"vac_dist",1,0.676592
42,"vac_dist",2,0.034349
42,"vac_dist",3,0.234846
42,"vac_identifiable",0,0
42,"vac_protect_duration",0,96
42,"vac_rate",0,73978.6
43,"vac_dist",0,0.147213
43,"vac_dist",1,0.609097
43,"vac_dist",2,0.109291
43,"vac_dist",3,0.134398
43,"vac_identifiable",0,0
43,"vac_protect_duration",0,96
43,"vac_rate",0,73978.6
44,"vac_dist",0,0.257643
44,"vac_dist",1,0.636589
44,"vac_dist",2,0.0275062
44,"vac_dist",3,0.0782622
44,"vac_identifiable",0,0
44,"vac_protect_duration",0,96
44,"vac_rate",0,73978.6
45,"vac_dist",0,0.286872
45,"vac_dist",1,0.435877
45,"vac_dist",2,0.0473207
45,"vac_dist",3,0.22993
45,"vac_identifiable",0,0
45,"vac_protect_duration",0,96
45,"vac_rate",0,73978.6
46,"vac_dist",0,0.260993
46,"vac_dist",1,0.479846
46,"vac_dist",2,0.0265116
46,"vac_dist",3,0.232649
46,"vac_identifiable",0,0
46,"vac_protect_duration",0,96
46,"vac_rate",0,73978.6
47,"vac_dist",0,0.118758
47,"vac_dist",1,0.647381
47,"vac_dist",2,0.00593546
47,"vac_dist",3,0.227926
47,"vac_identifiable",0,0
47,"vac_protect_duration",0,96
47,"vac_rate",0,73978.6
