SAMPLE_ID,PAR_NAME,INDEX,PAR_VALUE
10,vac_rate,0,18494.700000
10,vac_protect_duration,0,96.000000
10,vac_dist,0,0.698167
10,vac_dist,1,0.059010
10,vac_dist,2,0.002189
10,vac_dist,3,0.240634
10,vac_efficacy,0,0.900000
10,vac_t_year_offset,0,0.000000
10,vac_t_year_length,0,48.000000
10,n_age_vac,0,10.000000
10,vac_t_freq,0,1.000000
10,reg_import_scale,0,1.000000
10,vac_identifiable,0,0.000000
10,vac_prop,0,0.698167
10,vac_prop,1,0.0590102
10,vac_prop,2,0.00218877
10,vac_prop,3,0.240634
11,vac_rate,0,18494.700000
11,vac_protect_duration,0,96.000000
11,vac_dist,0,0.625449
11,vac_dist,1,0.155742
11,vac_dist,2,0.124229
11,vac_dist,3,0.094580
11,vac_efficacy,0,0.900000
11,vac_t_year_offset,0,0.000000
11,vac_t_year_length,0,48.000000
11,n_age_vac,0,10.000000
11,vac_t_freq,0,1.000000
11,reg_import_scale,0,1.000000
11,vac_identifiable,0,0.000000
11,vac_prop,0,0.625449
11,vac_prop,1,0.155742
11,vac_prop,2,0.124229
11,vac_prop,3,0.0945797
12,vac_rate,0,18494.700000
12,vac_protect_duration,0,96.000000
12,vac_dist,0,0.701899
12,vac_dist,1,0.023737
12,vac_dist,2,0.081763
12,vac_dist,3,0.192601
12,vac_efficacy,0,0.900000
12,vac_t_year_offset,0,0.000000
12,vac_t_year_length,0,48.000000
12,n_age_vac,0,10.000000
12,vac_t_freq,0,1.000000
12,reg_import_scale,0,1.000000
12,vac_identifiable,0,0.000000
12,vac_prop,0,0.701899
12,vac_prop,1,0.0237374
12,vac_prop,2,0.0817628
12,vac_prop,3,0.192601
13,vac_rate,0,18494.700000
13,vac_protect_duration,0,96.000000
13,vac_dist,0,0.228568
13,vac_dist,1,0.371907
13,vac_dist,2,0.082279
13,vac_dist,3,0.317246
13,vac_efficacy,0,0.900000
13,vac_t_year_offset,0,0.000000
13,vac_t_year_length,0,48.000000
13,n_age_vac,0,10.000000
13,vac_t_freq,0,1.000000
13,reg_import_scale,0,1.000000
13,vac_identifiable,0,0.000000
13,vac_prop,0,0.228568
13,vac_prop,1,0.371907
13,vac_prop,2,0.0822794
13,vac_prop,3,0.317246
14,vac_rate,0,18494.700000
14,vac_protect_duration,0,96.000000
14,vac_dist,0,0.296416
14,vac_dist,1,0.246193
14,vac_dist,2,0.040795
14,vac_dist,3,0.416596
14,vac_efficacy,0,0.900000
14,vac_t_year_offset,0,0.000000
14,vac_t_year_length,0,48.000000
14,n_age_vac,0,10.000000
14,vac_t_freq,0,1.000000
14,reg_import_scale,0,1.000000
14,vac_identifiable,0,0.000000
14,vac_prop,0,0.296416
14,vac_prop,1,0.246193
14,vac_prop,2,0.0407947
14,vac_prop,3,0.416596
15,vac_rate,0,18494.700000
15,vac_protect_duration,0,96.000000
15,vac_dist,0,0.729592
15,vac_dist,1,0.060668
15,vac_dist,2,0.020671
15,vac_dist,3,0.189070
15,vac_efficacy,0,0.900000
15,vac_t_year_offset,0,0.000000
15,vac_t_year_length,0,48.000000
15,n_age_vac,0,10.000000
15,vac_t_freq,0,1.000000
15,reg_import_scale,0,1.000000
15,vac_identifiable,0,0.000000
15,vac_prop,0,0.729592
15,vac_prop,1,0.0606678
15,vac_prop,2,0.0206706
15,vac_prop,3,0.18907
16,vac_rate,0,18494.700000
16,vac_protect_duration,0,96.000000
16,vac_dist,0,0.445235
16,vac_dist,1,0.061172
16,vac_dist,2,0.191606
16,vac_dist,3,0.301986
16,vac_efficacy,0,0.900000
16,vac_t_year_offset,0,0.000000
16,vac_t_year_length,0,48.000000
16,n_age_vac,0,10.000000
16,vac_t_freq,0,1.000000
16,reg_import_scale,0,1.000000
16,vac_identifiable,0,0.000000
16,vac_prop,0,0.445235
16,vac_prop,1,0.0611723
16,vac_prop,2,0.191606
16,vac_prop,3,0.301986
17,vac_rate,0,18494.700000
17,vac_protect_duration,0,96.000000
17,vac_dist,0,0.599760
17,vac_dist,1,0.300820
17,vac_dist,2,0.065848
17,vac_dist,3,0.033571
17,vac_efficacy,0,0.900000
17,vac_t_year_offset,0,0.000000
17,vac_t_year_length,0,48.000000
17,n_age_vac,0,10.000000
17,vac_t_freq,0,1.000000
17,reg_import_scale,0,1.000000
17,vac_identifiable,0,0.000000
17,vac_prop,0,0.59976
17,vac_prop,1,0.30082
17,vac_prop,2,0.0658483
17,vac_prop,3,0.0335715
18,vac_rate,0,18494.700000
18,vac_protect_duration,0,96.000000
18,vac_dist,0,0.530798
18,vac_dist,1,0.114770
18,vac_dist,2,0.028139
18,vac_dist,3,0.326293
18,vac_efficacy,0,0.900000
18,vac_t_year_offset,0,0.000000
18,vac_t_year_length,0,48.000000
18,n_age_vac,0,10.000000
18,vac_t_freq,0,1.000000
18,reg_import_scale,0,1.000000
18,vac_identifiable,0,0.000000
18,vac_prop,0,0.530798
18,vac_prop,1,0.11477
18,vac_prop,2,0.0281392
18,vac_prop,3,0.326293
19,vac_rate,0,18494.700000
19,vac_protect_duration,0,96.000000
19,vac_dist,0,0.733026
19,vac_dist,1,0.036038
19,vac_dist,2,0.108539
19,vac_dist,3,0.122397
19,vac_efficacy,0,0.900000
19,vac_t_year_offset,0,0.000000
19,vac_t_year_length,0,48.000000
19,n_age_vac,0,10.000000
19,vac_t_freq,0,1.000000
19,reg_import_scale,0,1.000000
19,vac_identifiable,0,0.000000
19,vac_prop,0,0.733026
19,vac_prop,1,0.0360375
19,vac_prop,2,0.108539
19,vac_prop,3,0.122397
20,vac_rate,0,18494.700000
20,vac_protect_duration,0,96.000000
20,vac_dist,0,0.579265
20,vac_dist,1,0.110700
20,vac_dist,2,0.026773
20,vac_dist,3,0.283261
20,vac_efficacy,0,0.900000
20,vac_t_year_offset,0,0.000000
20,vac_t_year_length,0,48.000000
20,n_age_vac,0,10.000000
20,vac_t_freq,0,1.000000
20,reg_import_scale,0,1.000000
20,vac_identifiable,0,0.000000
20,vac_prop,0,0.579265
20,vac_prop,1,0.1107
20,vac_prop,2,0.0267731
20,vac_prop,3,0.283261
21,vac_rate,0,18494.700000
21,vac_protect_duration,0,96.000000
21,vac_dist,0,0.737991
21,vac_dist,1,0.167811
21,vac_dist,2,0.036748
21,vac_dist,3,0.057450
21,vac_efficacy,0,0.900000
21,vac_t_year_offset,0,0.000000
21,vac_t_year_length,0,48.000000
21,n_age_vac,0,10.000000
21,vac_t_freq,0,1.000000
21,reg_import_scale,0,1.000000
21,vac_identifiable,0,0.000000
21,vac_prop,0,0.737991
21,vac_prop,1,0.167811
21,vac_prop,2,0.036748
21,vac_prop,3,0.05745
22,vac_rate,0,18494.700000
22,vac_protect_duration,0,96.000000
22,vac_dist,0,0.621676
22,vac_dist,1,0.008905
22,vac_dist,2,0.094266
22,vac_dist,3,0.275153
22,vac_efficacy,0,0.900000
22,vac_t_year_offset,0,0.000000
22,vac_t_year_length,0,48.000000
22,n_age_vac,0,10.000000
22,vac_t_freq,0,1.000000
22,reg_import_scale,0,1.000000
22,vac_identifiable,0,0.000000
22,vac_prop,0,0.621676
22,vac_prop,1,0.00890511
22,vac_prop,2,0.0942664
22,vac_prop,3,0.275153
23,vac_rate,0,18494.700000
23,vac_protect_duration,0,96.000000
23,vac_dist,0,0.325941
23,vac_dist,1,0.330286
23,vac_dist,2,0.109737
23,vac_dist,3,0.234036
23,vac_efficacy,0,0.900000
23,vac_t_year_offset,0,0.000000
23,vac_t_year_length,0,48.000000
23,n_age_vac,0,10.000000
23,vac_t_freq,0,1.000000
23,reg_import_scale,0,1.000000
23,vac_identifiable,0,0.000000
23,vac_prop,0,0.325941
23,vac_prop,1,0.330286
23,vac_prop,2,0.109737
23,vac_prop,3,0.234036
24,vac_rate,0,18494.700000
24,vac_protect_duration,0,96.000000
24,vac_dist,0,0.730610
24,vac_dist,1,0.018753
24,vac_dist,2,0.095050
24,vac_dist,3,0.155587
24,vac_efficacy,0,0.900000
24,vac_t_year_offset,0,0.000000
24,vac_t_year_length,0,48.000000
24,n_age_vac,0,10.000000
24,vac_t_freq,0,1.000000
24,reg_import_scale,0,1.000000
24,vac_identifiable,0,0.000000
24,vac_prop,0,0.73061
24,vac_prop,1,0.018753
24,vac_prop,2,0.0950503
24,vac_prop,3,0.155587
25,vac_rate,0,18494.700000
25,vac_protect_duration,0,96.000000
25,vac_dist,0,0.692481
25,vac_dist,1,0.132990
25,vac_dist,2,0.012135
25,vac_dist,3,0.162393
25,vac_efficacy,0,0.900000
25,vac_t_year_offset,0,0.000000
25,vac_t_year_length,0,48.000000
25,n_age_vac,0,10.000000
25,vac_t_freq,0,1.000000
25,reg_import_scale,0,1.000000
25,vac_identifiable,0,0.000000
25,vac_prop,0,0.692481
25,vac_prop,1,0.13299
25,vac_prop,2,0.0121349
25,vac_prop,3,0.162393
26,vac_rate,0,18494.700000
26,vac_protect_duration,0,96.000000
26,vac_dist,0,0.357670
26,vac_dist,1,0.061590
26,vac_dist,2,0.015634
26,vac_dist,3,0.565106
26,vac_efficacy,0,0.900000
26,vac_t_year_offset,0,0.000000
26,vac_t_year_length,0,48.000000
26,n_age_vac,0,10.000000
26,vac_t_freq,0,1.000000
26,reg_import_scale,0,1.000000
26,vac_identifiable,0,0.000000
26,vac_prop,0,0.35767
26,vac_prop,1,0.0615898
26,vac_prop,2,0.0156338
26,vac_prop,3,0.565106
27,vac_rate,0,18494.700000
27,vac_protect_duration,0,96.000000
27,vac_dist,0,0.604218
27,vac_dist,1,0.139292
27,vac_dist,2,0.162053
27,vac_dist,3,0.094437
27,vac_efficacy,0,0.900000
27,vac_t_year_offset,0,0.000000
27,vac_t_year_length,0,48.000000
27,n_age_vac,0,10.000000
27,vac_t_freq,0,1.000000
27,reg_import_scale,0,1.000000
27,vac_identifiable,0,0.000000
27,vac_prop,0,0.604218
27,vac_prop,1,0.139292
27,vac_prop,2,0.162053
27,vac_prop,3,0.0944368
28,vac_rate,0,18494.700000
28,vac_protect_duration,0,96.000000
28,vac_dist,0,0.622304
28,vac_dist,1,0.003926
28,vac_dist,2,0.048204
28,vac_dist,3,0.325567
28,vac_efficacy,0,0.900000
28,vac_t_year_offset,0,0.000000
28,vac_t_year_length,0,48.000000
28,n_age_vac,0,10.000000
28,vac_t_freq,0,1.000000
28,reg_import_scale,0,1.000000
28,vac_identifiable,0,0.000000
28,vac_prop,0,0.622304
28,vac_prop,1,0.0039258
28,vac_prop,2,0.0482038
28,vac_prop,3,0.325567
29,vac_rate,0,18494.700000
29,vac_protect_duration,0,96.000000
29,vac_dist,0,0.722898
29,vac_dist,1,0.074638
29,vac_dist,2,0.127208
29,vac_dist,3,0.075255
29,vac_efficacy,0,0.900000
29,vac_t_year_offset,0,0.000000
29,vac_t_year_length,0,48.000000
29,n_age_vac,0,10.000000
29,vac_t_freq,0,1.000000
29,reg_import_scale,0,1.000000
29,vac_identifiable,0,0.000000
29,vac_prop,0,0.722898
29,vac_prop,1,0.0746384
29,vac_prop,2,0.127208
29,vac_prop,3,0.0752551
30,vac_rate,0,18494.700000
30,vac_protect_duration,0,96.000000
30,vac_dist,0,0.697739
30,vac_dist,1,0.014560
30,vac_dist,2,0.055149
30,vac_dist,3,0.232553
30,vac_efficacy,0,0.900000
30,vac_t_year_offset,0,0.000000
30,vac_t_year_length,0,48.000000
30,n_age_vac,0,10.000000
30,vac_t_freq,0,1.000000
30,reg_import_scale,0,1.000000
30,vac_identifiable,0,0.000000
30,vac_prop,0,0.697739
30,vac_prop,1,0.0145599
30,vac_prop,2,0.0551485
30,vac_prop,3,0.232553
31,vac_rate,0,18494.700000
31,vac_protect_duration,0,96.000000
31,vac_dist,0,0.532745
31,vac_dist,1,0.021260
31,vac_dist,2,0.023430
31,vac_dist,3,0.422565
31,vac_efficacy,0,0.900000
31,vac_t_year_offset,0,0.000000
31,vac_t_year_length,0,48.000000
31,n_age_vac,0,10.000000
31,vac_t_freq,0,1.000000
31,reg_import_scale,0,1.000000
31,vac_identifiable,0,0.000000
31,vac_prop,0,0.532745
31,vac_prop,1,0.0212596
31,vac_prop,2,0.0234297
31,vac_prop,3,0.422565
32,vac_rate,0,18494.700000
32,vac_protect_duration,0,96.000000
32,vac_dist,0,0.259234
32,vac_dist,1,0.300611
32,vac_dist,2,0.072124
32,vac_dist,3,0.368031
32,vac_efficacy,0,0.900000
32,vac_t_year_offset,0,0.000000
32,vac_t_year_length,0,48.000000
32,n_age_vac,0,10.000000
32,vac_t_freq,0,1.000000
32,reg_import_scale,0,1.000000
32,vac_identifiable,0,0.000000
32,vac_prop,0,0.259234
32,vac_prop,1,0.300611
32,vac_prop,2,0.0721238
32,vac_prop,3,0.368031
33,vac_rate,0,18494.700000
33,vac_protect_duration,0,96.000000
33,vac_dist,0,0.388105
33,vac_dist,1,0.041456
33,vac_dist,2,0.076242
33,vac_dist,3,0.494197
33,vac_efficacy,0,0.900000
33,vac_t_year_offset,0,0.000000
33,vac_t_year_length,0,48.000000
33,n_age_vac,0,10.000000
33,vac_t_freq,0,1.000000
33,reg_import_scale,0,1.000000
33,vac_identifiable,0,0.000000
33,vac_prop,0,0.388105
33,vac_prop,1,0.0414557
33,vac_prop,2,0.0762423
33,vac_prop,3,0.494197
34,vac_rate,0,18494.700000
34,vac_protect_duration,0,96.000000
34,vac_dist,0,0.628134
34,vac_dist,1,0.046970
34,vac_dist,2,0.091871
34,vac_dist,3,0.233026
34,vac_efficacy,0,0.900000
34,vac_t_year_offset,0,0.000000
34,vac_t_year_length,0,48.000000
34,n_age_vac,0,10.000000
34,vac_t_freq,0,1.000000
34,reg_import_scale,0,1.000000
34,vac_identifiable,0,0.000000
34,vac_prop,0,0.628134
34,vac_prop,1,0.0469702
34,vac_prop,2,0.0918707
34,vac_prop,3,0.233026
35,vac_rate,0,18494.700000
35,vac_protect_duration,0,96.000000
35,vac_dist,0,0.735658
35,vac_dist,1,0.003762
35,vac_dist,2,0.001086
35,vac_dist,3,0.259494
35,vac_efficacy,0,0.900000
35,vac_t_year_offset,0,0.000000
35,vac_t_year_length,0,48.000000
35,n_age_vac,0,10.000000
35,vac_t_freq,0,1.000000
35,reg_import_scale,0,1.000000
